company_id|company_no|company_name|company_intype|company_constitution|company_incorporation|company_objectives|company_industrya|company_industryb|company_website|company_staffid|company_comment|company_remark|company_country|company_gst|company_activate|company_financialyearend
35|986115-H|CCE O&G HOLDINGS SDN. BHD.|Own|Private Limited|10/04/2012|||||4|||Malaysia||t|30/06/2017
36|707802-W|CCE OIL & GAS (M) SDN. BHD.|Takeover|Private Limited|26/08/2005|||||4|||Malaysia||t|31/12/2016
37|960541-K|CCE SAFETY EQUIPMENT (M) SDN. BHD.|Own|Private Limited|19/09/2011|||||4|||Malaysia||t|31/12/2016
2|750059-M|10 LINGKUNGAN SDN. BHD.|Own|Private Limited|10/10/2006|||||4|||Malaysia||t|31/12/2017
38|683101-K|CEDAR BROADCAST & COMMUNICATIONS (M) SDN. BHD.|Own|Private Limited|03/03/2005|||||4|||Malaysia||t|30/06/2017
39|693603-A|CEDAR COMMUNICATIONS (M) SDN. BHD.|Own|Private Limited|02/06/2005|||||4|||Malaysia||t|30/06/2017
40|396732-U|CENTRAL FORCE INTERNATIONAL SDN. BHD.|Own|Private Limited|05/08/1996|||||4|||Malaysia||t|31/12/2017
4|862980-X||Takeover|Private Limited|02/07/2009|||||4|||Malaysia||f|01/01/2017
41|321145-A|CENTRAL FORCE SDN. BHD.|Takeover|Private Limited|25/10/1994|||||4|||Malaysia||t|31/12/2017
5|862980-X|OPINION TIGER SDN.BHD|Takeover|Private Limited|02/07/2009|||||4|||Malaysia||f|01/01/2017
42|426270-P|CHOICE CREATIONS SDN. BHD.|Takeover|Private Limited|04/04/1997|||||4|||Malaysia||t|31/03/2017
6|862980-X|OPINION TIGER SDN.BHD|Takeover|Private Limited|02/07/2009|||||4|||Malaysia||f|01/01/2017
7|862980-X|ACE CSR SDN.BHD|Takeover|Private Limited|02/07/2009|||||4|||Malaysia||t|01/01/2017
8|1068230-M|ACH DESIGN SDN.BHD|Own|Private Limited|29/10/2013|||||4|||Malaysia||t|01/01/2017
9|1190259-P|ACRO ASCENT ENGINEERING SDN.BHD.|Own|Private Limited|03/06/2016|||||4|||Malaysia||t|01/01/2017
10|838566-W||Own|Private Limited|13/11/2008|||||4|||Malaysia||f|01/01/2017
11|838566-W|ACRO AVENUE ENGINEERING SDN. BHD.|Own|Private Limited|13/11/2008|||||4|||Malaysia||t|01/01/2017
12|805092-M|ACRO AVENUE SDN. BHD.|Own|Private Limited|31/01/2008|||||4|||Malaysia||t|01/01/2017
13|670274-P|AL SAKKAF TRAVEL & TOURS SDN. BHD.|Takeover|Private Limited|22/10/2004|||||4|||Malaysia||f|01/01/2017
43|396730-W|CHONG KAIN HUAT HOLDINGS SDN. BHD.|Own|Private Limited|05/08/1996|||||4|||Malaysia||t|31/12/2017
14|670274-P|AL SAKKAF TRAVEL & TOURS SDN. BHD.|Takeover|Private Limited|22/10/2004|||||4|||Malaysia||t|01/01/2017
16|185754|MERCHANT PIONEER LIMITED|Own|Private Limited|28/07/2016|||||1|||Singapore||f|01/01/2017
