ar_id|company_id|ar_date|ar_reminderdate|ar_submissiondate|ar_status|ar_fileddate
1|1|13/09/2018|01/08/2018|13/10/2018|f|
67|11|30/06/2015|01/05/2015|30/07/2015|t|30/06/2015
4|2|10/04/2008|01/03/2008|10/05/2008|t|10/04/2008
5|2|30/06/2009|01/05/2009|30/07/2009|t|30/06/2009
7|2|28/07/2010|01/06/2010|27/08/2010|t|28/07/2010
69|11|26/05/2016|01/04/2016|25/06/2016|t|26/05/2016
9|2|30/06/2011|01/05/2011|30/07/2011|t|30/06/2011
334|32|15/07/2013|01/06/2013|14/08/2013|t|15/07/2013
11|2|31/07/2012|01/06/2012|30/08/2012|t|31/07/2012
23|2|10/10/2017|01/09/2017|09/11/2017|t|02/11/2017
13|2|31/07/2013|01/06/2013|30/08/2013|t|31/07/2013
110|11|13/11/2017|01/10/2017|13/12/2017|t|18/12/2017
15|2|31/07/2014|01/06/2014|30/08/2014|t|31/07/2014
112|8|29/10/2017|01/09/2017|28/11/2017|t|17/11/2017
17|2|31/07/2015|01/06/2015|30/08/2015|t|31/07/2015
19|2|31/07/2016|01/06/2016|30/08/2016|t|31/07/2016
74|12|30/07/2009|01/06/2009|29/08/2009|t|30/07/2009
76|12|30/09/2010|01/08/2010|30/10/2010|t|30/09/2010
27|4|02/07/2018|01/06/2018|01/08/2018|f|
28|5|02/07/2018|01/06/2018|01/08/2018|f|
29|6|02/07/2018|01/06/2018|01/08/2018|f|
31|7|31/12/2010|01/11/2010|30/01/2011|t|31/12/2010
78|12|30/09/2011|01/08/2011|30/10/2011|t|30/09/2011
33|7|30/12/2011|01/11/2011|29/01/2012|t|30/12/2011
35|7|03/12/2012|01/11/2012|02/01/2013|t|03/12/2012
37|7|28/11/2013|01/10/2013|28/12/2013|t|28/11/2013
80|12|30/09/2012|01/08/2012|30/10/2012|t|30/09/2012
39|7|24/11/2014|01/10/2014|24/12/2014|t|24/11/2014
41|7|28/12/2015|01/11/2015|27/01/2016|t|28/12/2015
43|7|31/12/2016|01/11/2016|30/01/2017|t|31/12/2016
82|12|30/09/2014|01/08/2014|30/10/2014|t|30/09/2014
48|8|28/04/2015|01/03/2015|28/05/2015|t|28/04/2015
50|8|30/06/2016|01/05/2016|30/07/2016|t|30/06/2016
84|12|30/09/2015|01/08/2015|30/10/2015|t|30/09/2015
53|9|03/06/2017|01/05/2017|03/07/2017|t|03/06/2017
54|9|03/06/2018|01/05/2018|03/07/2018|f|
55|10|13/11/2017|01/10/2017|13/12/2017|f|
57|11|12/05/2010|01/04/2010|11/06/2010|t|12/05/2010
59|11|30/06/2011|01/05/2011|30/07/2011|t|30/06/2011
86|12|30/09/2016|01/08/2016|30/10/2016|t|30/09/2016
61|11|08/05/2012|01/04/2012|07/06/2012|t|08/05/2012
63|11|28/06/2013|01/05/2013|28/07/2013|t|28/06/2013
65|11|30/06/2014|01/05/2014|30/07/2014|t|30/06/2014
88|12|31/01/2017|01/12/2016|02/03/2017|t|31/01/2017
90|13|22/10/2017|01/09/2017|21/11/2017|f|
92|14|20/04/2006|01/03/2006|20/05/2006|t|20/04/2006
1252|98|14/09/2018|01/08/2018|14/10/2018|f|
94|14|30/06/2007|01/05/2007|30/07/2007|t|30/06/2007
96|14|30/06/2008|01/05/2008|30/07/2008|t|30/06/2008
98|14|30/06/2009|01/05/2009|30/07/2009|t|30/06/2009
100|14|30/06/2010|01/05/2010|30/07/2010|t|30/06/2010
102|14|30/06/2011|01/05/2011|30/07/2011|t|30/06/2011
104|14|30/06/2012|01/05/2012|30/07/2012|t|30/06/2012
106|14|28/06/2013|01/05/2013|28/07/2013|t|28/06/2013
108|14|31/12/2015|01/11/2015|30/01/2016|t|31/12/2015
111|16|28/07/2018|01/06/2018|27/08/2018|f|
113|18|30/05/2018|01/04/2018|29/06/2018|f|
114|17|30/11/2013|01/10/2013|30/12/2013|t|30/11/2013
116|17|31/12/2014|01/11/2014|30/01/2015|t|31/12/2014
118|17|31/12/2015|01/11/2015|30/01/2016|t|31/12/2015
