billingitem_id|company_id|billingitem_generated|billingitem_entrydate|billingitem_caseid|billingitem_casefeecode|billingitem_casefeedesc|billingitem_billingdesc|billingitem_billingdetails|billingitem_feetype|billingitem_feecategory|billingitem_amount|billingitem_calculatedtax|billingitem_total|billingitem_tax|perfomabill_id|billingitem_balance|debitnote_id
47|136|f|03/01/2018|29|ChAud|"Appt : Ling Kam Hoong & Co
Resign : P.S. Yap, Isma & Associates
"|Printing & Stationery||Disbursement|SR|18.21|1.09|19.3|6|17|19.3|-3
2595|397|f|26/03/2018|957|S78NonCash|Inc PUC (Otherwise) - From 10k to 100k|SSM - KP ROM||Reimbursement|OR|100|0|100|6|841|0|-3
31|519|f|03/01/2018|26|PurVeh|Disposal of MV (WVX1200)|Disposal of MV (WVX1200)||Secretarial Work|SR|50|3|53|6|9|53|-3
32|519|f|03/01/2018|26|PurVeh|Disposal of MV (WVX1200)|Handling Delivery & Telecommunication||Secretarial Work|SR|15|0.9|15.9|6|9|15.9|-3
4|504|f|02/01/2018|12|CPO|CPO - D&P Innovation SB|Pucharse CPO - D&P Innovation SB||Reimbursement|SR|15|0.9|15.9|6|2|15.9|-3
33|519|f|03/01/2018|26|PurVeh|Disposal of MV (WVX1200)|Printing & Stationery||Secretarial Work|SR|15|0.9|15.9|6|9|15.9|-3
56|605|f|03/01/2018|36|IntBanking|Reflex Cash Management-RHB|Handling Delivery & Telecommunication||Secretarial Work|SR|15|0.9|15.9|6|16|15.9|-3
68|408|f|04/01/2018|38|ChBkSig|DCR - Chg of Bank Signatories (CIMB Islamic Bank Berhad)|Handling, Delivery & Telecommunications||Disbursement|SR|25|1.5|26.5|6|21|0|-3
53|600|f|03/01/2018|35|IntBanking|Reflex Cash Management with RHB|Handling Delivery & Telecommunication||Secretarial Work|SR|15|0.9|15.9|6|15|15.9|-3
45|136|f|03/01/2018|29|ChAud|"Appt : Ling Kam Hoong & Co
Resign : P.S. Yap, Isma & Associates
"|Change of Auditor|"Appt : Ling Kam Hoong & Co
Resign : P.S. Yap, Isma & Associates
"|Secretarial Work|SR|50|3|53|6|17|53|-3
60|755|f|04/01/2018|33|S15|New Incorporation: BEAU DE WAAL SDN. BHD.|SSM - Corporate Information||Reimbursement|SR|15|0.9|15.9|6|18|0|-3
631|69|t|23/01/2018|-1|SecFee||Secretarial Fee + Registered Office|- From 2018-01-23 until 2019-01-22|Fee|SR|840|50.4|890.4|6|235|890.4|-3
156|228|t|06/01/2018|-1|SecFee||Secretarial Fee + Registered Office|- From 2018-01-01 until 2018-12-31|Fee|SR|840|50.4|890.4|6|50|0|-3
3938|591|f|04/05/2018|1365|CTC|CTC F9, F44 & F24|Certified True Copies:|Form 9, Form 44 & Form 24|Secretarial Work|SR|34|2.04|36.04|6|1259|36.04|-3
168|590|f|08/01/2018|77|AR/AGM|AR@2018-01-30|Printing & Stationery||Disbursement|SR|23|1.38|24.38|6|57|24.38|-3
4005|136|f|07/05/2018|1404|S236|Appointment of Secretary|Appointment of Secretary|#NAME?|Secretarial Work|SR|90|5.4|95.4|6|1279|95.4|-3
42|690|f|03/01/2018|31|S105|LHDN STAMPING FEE|LHDN STAMPING FEE - S105@2018-01-02||Reimbursement|OR|18|0|18|6|13|0|-3
69|408|f|04/01/2018|38|ChBkSig|DCR - Chg of Bank Signatories (CIMB Islamic Bank Berhad)|Printing & Stationery||Disbursement|SR|20|1.2|21.2|6|21|0|-3
15|751|f|02/01/2018|-1|Adoption of Constitution||Adoption of Constitution|#NAME?|Secretarial Work|SR|2000|120|2120|6|6|0|-3
602|688|t|22/01/2018|-1|SecFee||Secretarial Fee + Registered Office|- From 2018-01-21 until 2019-01-20|Fee|SR|840|50.4|890.4|6|226|890.4|-3
17|751|f|02/01/2018|17|S78||Handling, Delivery & Telecommunications||Fee|SR|33|1.98|34.98|6|6|0|-3
18|751|f|02/01/2018|17|S78||Printing & Stationery||Fee|SR|33|1.98|34.98|6|6|0|-3
35|661|f|03/01/2018|27|AC|FS@2016-12-31|Financial Statement @ 2016-12-31||Secretarial Work|SR|140|8.4|148.4|6|11|148.4|-3
114|468|f|05/01/2018|64|AR/AGM|Annual Return @ 2018-01-16|Annual Return @ 2018-01-16||Secretarial Work|SR|200|12|212|6|35|0|-3
116|468|f|05/01/2018|64|AR/AGM|Annual Return @ 2018-01-16|Printing & Stationery||Disbursement|SR|23|1.38|24.38|6|35|0|-3
