company_id|company_no|company_name|company_intype|company_constitution|company_incorporation|company_objectives|company_industrya|company_industryb|company_website|company_staffid|company_comment|company_remark|company_country|company_gst|company_activate|company_financialyearend
836|2018B25759|ELITE SMART SYSTEMS SDN. BHD. |Own|Public Limited|01/01/2017|||||4|||Australia||t|01/01/2017
837|639702-V|PERIKATAN ASIA SDN. BHD. |Takeover|Public Limited|01/01/2017|||||4|||Australia||f|01/01/2017
824|1279248-M|TREASURE BUSINESS GLOBAL SERVICES SDN. BHD. |Own|Private Limited|04/05/2018|||||2|||Malaysia||t|31/05/2019
838|839824-p|BGI ENGINEERING SDN. BHD.|Takeover|Private Limited|01/01/2017|||||1|||Malaysia||t|01/01/2017
839|RIDAINTPTE|RIDA INTERNATIONAL PTE. LTD.|Takeover|Private Limited|02/02/2020|||||6|||Malaysia||t|02/02/2020
840|196815-H|PERTIWI EMAS SDN. BHD. |Own|Private Limited|01/01/2017|||||2|||Malaysia||t|01/01/2017
249|1233105-U|CENOZAI SDN. BHD.|Own|Private Limited|30/05/2017|||||2|||Malaysia||t|30/06/2018
841|20180606|OSCATEL NETWORK SDN. BHD. |Own|Private Limited|02/02/2020|||||2|||Malaysia||t|01/01/2017
842|1282188-U|ERA JASAKITA SDN. BHD.|Takeover|Private Limited|03/06/2018|||||6|||Malaysia||t|31/12/2019
843|2018B30149|OZCATEL NETWORK SDN. BHD. |Own|Private Limited|02/02/2020|||||2|||Malaysia||t|01/01/2017
