fee_id|company_id|fee_category|fee_type|fee_description|fee_billduration|fee_amount|fee_billto|fee_billingdescription
1|2|SR|Fee|SecFee|12|840|09/10/2017|Secretarial Fee + Registered Office
686|753|SR|Fee|SecFee|12|840|05/09/2018|Secretarial Fee + Registered Office
70|82|SR|Fee|SecFee|12|840|04/01/2019|Secretarial Fee + Registered Office
17|25|SR|Fee|SecFee|12|840|04/01/2019|Secretarial Fee + Registered Office
5|9|SR|Fee|SecFee|12|840|02/06/2018|Secretarial Fee + Registered Office
80|101|SR|Fee|SecFee|12|840|07/01/2019|Secretarial Fee + Registered Office
25|34|SR|Fee|SecFee|12|840|10/01/2019|Secretarial Fee + Registered Office
45|54|SR|Fee|SecFee|12|840|16/01/2019|Secretarial Fee + Registered Office
9|15|SR|Fee|SC|12|1000|27/07/2018|Seychelles
10|17|SR|Fee|SecFee|12|840|29/05/2018|Secretarial Fee + Registered Office
12|20|SR|Fee|SecFee|12|840|12/02/2018|Secretarial Fee + Registered Office
57|69|SR|Fee|SecFee|12|840|22/01/2019|Secretarial Fee + Registered Office
695|778|SR|Fee|LocalAgent|12|18000|28/09/2018|Nominee Local Agent Fee
16|24|SR|Fee|SecFee|12|840|15/08/2016|Secretarial Fee + Registered Office
22|30|SR|Fee|SecFee|12|840|04/08/2018|Secretarial Fee + Registered Office
23|32|SR|Fee|SecFee|12|840|26/03/2018|Secretarial Fee + Registered Office
24|33|SR|Fee|SecFee|12|840|26/06/2018|Secretarial Fee + Registered Office
30|39|SR|Fee|SecFee|12|840|02/06/2018|Secretarial Fee + Registered Office
33|42|SR|Fee|SecFee|12|840|12/05/2018|Secretarial Fee + Registered Office
34|43|SR|Fee|SecFee|12|1000|04/08/2018|Secretarial Fee + Registered Office
35|44|SR|Fee|SecFee|12|840|11/08/2018|Secretarial Fee + Registered Office
40|49|SR|Fee|SecFee|12|840|30/05/2018|Secretarial Fee + Registered Office
42|51|SR|Fee|SecFee|12|840|26/06/2018|Secretarial Fee + Registered Office
47|56|SR|Fee|SecFee|12|840|14/07/2018|Secretarial Fee + Registered Office
