creditnote_id|creditnote_entrydate|creditnote_companyid|creditnote_confirmed|creditnote_taxrate|creditnote_amount|creditnote_calculatedtax|creditnote_total|creditnote_remark|creditnote_no|create_by
1|03/01/2018|90|t|6|50|0|50||CN01-01/18|8
2|05/01/2018|445|t|6|350|0|350||CN02-01/18|9
3|09/01/2018|258|t|6|100|6|106||CN03-01/18|7
4|12/01/2018|336|t|6|70|0|70||CN04-01/18|7
5|23/01/2018|399|t|6|50|0|50||CN05-01/18|7
6|23/01/2018|132|t|6|37.5|0|37.5||CN06-01/18|8
7|07/02/2018|693|t|6|150|0|150||CN01-02/18|9
8|08/02/2018|68|t|6|100|0|100||CN02-02/18|8
9|08/02/2018|594|t|6|225|7.5|232.5||CN03-02/18|9
10|13/02/2018|422|t|6|165|0.9|165.9||CN04-02/18|3
11|14/02/2018|601|t|6|15|0|15||CN05-02/18|9
12|01/03/2018|407|t|6|225|7.5|232.5||CN01-03/18|3
13|01/03/2018|385|t|6|225|7.5|232.5||CN02-03/18|3
14|05/03/2018|344|t|6|50|0|50||CN03-03/18|7
15|05/03/2018|611|t|6|130|0|130||CN04-03/18|9
16|06/03/2018|468|t|6|100|6|106||CN05-03/18|7
17|07/03/2018|799|t|6|2050|63|2113||CN06-03/18|3
18|14/03/2018|215|t|6|115|6.9|121.9||CN08-03/18|3
19|15/03/2018|364|t|6|3|0|3||CN09-03/18|7
20|19/03/2018|774|t|6|50|0|50||CN10-03/18|7
21|20/03/2018|549|t|6|440|20.4|460.4||CN11-03/18|9
22|23/03/2018|811|t|6|1210|0|1210||CN12-03/18|2
23|28/03/2018|806|t|6|50|0|50||CN13-03/18|3
24|04/04/2018|287|t|6|10|0.6|10.6||CN01-04/18|7
25|04/04/2018|470|t|6|30|1.8|31.8||CN02-04/18|7
26|04/04/2018|421|t|6|365|9.9|374.9||CN03-04/18|3
27|10/04/2018|55|t|6|3|0|3||CN04-04/18|12
28|12/04/2018|135|t|6|50|0|50||CN05-04/18|8
29|17/04/2018|593|t|6|240|8.4|248.4||CN06-04/18|9
30|17/04/2018|508|t|6|150|0|150||CN07-04/18|9
31|19/04/2018|202|t|6|350|9|359||CN08-04/18|12
32|23/04/2018|492|t|6|250|9|259||CN09-04/18|12
33|03/05/2018|366|t|6|50|0|50||CN01-05/18|7
34|07/05/2018|427|t|6|3|0|3||CN02-05/18|7
35|10/05/2018|693|t|6|50|0|50||CN03-05/18|12
36|11/05/2018|154|t|6|18|0.9|18.9||CN04-05/18|12
37|11/05/2018|170|t|6|150|0|150||CN05-05/18|8
38|15/05/2018|834|t|6|61.5|0|61.5||CN06-05/18|2
39|17/05/2018|550|t|6|150|0|150||CN07-05/18|9
40|23/05/2018|182|t|6|6|0|6||CN08-05/18|8
41|24/05/2018|249|t|6|350|9|359||CN09-05/18|7
42|28/05/2018|92|t|6|155|1.5|156.5||CN10-05/18|8
43|30/05/2018|155|t|6|40|2.4|42.4||CN11-05/18|4
44|30/05/2018|724|t|6|50|0|50||CN12-05/18|9
45|31/05/2018|162|t|6|560|33.6|593.6||CN13-05/18|4
46|31/05/2018|77|t|6|161|1.5|162.5||CN14-05/18|12
47|05/06/2018|201|t|0|525|0|525||CN01-06/18|12
48|06/06/2018|193|t|0|114|0|114||CN02-06/18|8
49|08/06/2018|608|t|0|150|0|150||CN03-06/18|9
