payment_id|company_id|payment_date|payment_taxrate|payment_amount|payment_calculatedtax|payment_total|payment_method|payment_remark|payment_confirmed|payment_cancelationreason|payment_createdby|mode_map|issue_bank|issue_date|issue_location|issue_refno|payment_no
1|760|06/01/2018|0|0|0|0|Cash||f|system error|10|RHB Islamic Bank Berhad|||||21587
3|690|05/01/2018|6|308.68|11.32|320|Transfer||t||10|Affin Bank Berhad|||||21589
5|483|11/01/2018|6|283.77|17.03|300.8|Cheque||t||10|RHB Bank Berhad|Malayan Banking Berhad (Maybank)|11/01/2018|Local|MBB#395043|21631
6|69|11/01/2018|6|400|15|415|Cheque||t||10|RHB Bank Berhad|Malayan Banking Berhad (Maybank)|11/01/2018|Local|417695|21633
7|725|11/01/2018|6|45|2.7|47.7|Cheque||t||10|RHB Bank Berhad|Al Rajhi Banking & Investment Corporation (Malaysia) Berhad|11/01/2018|Local|258|21634
8|408|11/01/2018|6|95|5.7|100.7|Transfer||t||10|RHB Bank Berhad|||||21639
9|101|12/01/2018|6|840|50.4|890.4|Transfer||t||10|RHB Bank Berhad|||||21640
10|81|12/01/2018|6|80|4.8|84.8|Transfer||t||10|RHB Bank Berhad|||||21647
11|84|12/01/2018|6|80|4.8|84.8|Transfer||t||10|RHB Bank Berhad|||||21648
12|350|12/01/2018|6|238.68|11.32|250|Transfer||t||10|RHB Bank Berhad|||||21651
13|662|15/01/2018|6|110|6.6|116.6|Cheque||t||10|RHB Bank Berhad|Malayan Banking Berhad (Maybank)|05/01/2018|Local|394849|21658
14|25|15/01/2018|6|280|4.8|284.8|Transfer||t||10|RHB Bank Berhad|||||21659
16|100|16/01/2018|6|100|6|106|Cash||t||10|RHB Bank Berhad|||||21665
17|380|16/01/2018|6|840|50.4|890.4|Cheque||t||10|RHB Bank Berhad|Malayan Banking Berhad (Maybank)|16/01/2018|Local|164146|21666
18|7|16/01/2018|6|238.68|11.32|250|Transfer||t||10|RHB Bank Berhad|||||21667
19|776|16/01/2018|6|474.53|25.47|500|Transfer||t||10|RHB Bank Berhad|||||21669
20|693|17/01/2018|6|569|32.34|601.34|Bankdraft||t||10|Affin Bank Berhad|||||21670
21|136|17/01/2018|6|93.21|5.59|98.8|Cheque||t||10|RHB Bank Berhad|Public Bank Berhad|17/01/2018|Local|269526|21671
22|360|17/01/2018|6|840|50.4|890.4|Transfer||t||10|RHB Bank Berhad|||||21676
23|126|17/01/2018|6|223|13.38|236.38|Transfer||t||10|RHB Bank Berhad|||||21677
24|337|19/01/2018|6|2077.55|124.65|2202.2|Cheque||f|Diffrent Company Name|10|RHB Bank Berhad|Public Bank Berhad|12/01/2018|Local|160313|21678
25|295|18/01/2018|6|840|50.4|890.4|Cheque||t||10|RHB Bank Berhad|Hong Leong Bank Berhad|18/01/2018|Local|346824|21678
15|751|16/01/2018|6|2850.11|149.89|3000|Cheque||f|Incorrect Gst amount|10|RHB Bank Berhad|CIMB Bank Berhad|16/01/2018|Local|47|21664
2|760|06/01/2018|6|1318.5|77.52|1396.02|Cash||f|Incorrect GST amount|10|RHB Bank Berhad|||||21587
4|755|10/01/2018|6|2892.62|107.38|3000|Transfer||f|Incorect GST Amount|10|RHB Bank Berhad|||||21606
26|755|10/01/2018|6|2889.62|110.38|3000|Other||t||2|RHB Bank Berhad|||||21606
27|765|11/01/2018|6|985|59.1|1044.1|Bankdraft||f|havent finish key in|2|Affin Bank Berhad|||||21630
28|765|11/01/2018|6|1004.72|60.28|1065|Cash||t||2|RHB Bank Berhad|||||21630
29|132|15/01/2018|6|471.7|28.3|500|Cash||t||2|RHB Bank Berhad|||||21656
