access_id|access_userid|access_username|access_time|access_event
1|ADMIN|ComSec2017 Admin|19/09/2017 13:36|Login
2|ADMIN|ComSec2017 Admin|19/09/2017 13:39|Logout
3|SZE|Sze Sze|19/09/2017 13:39|Login
4|SZE|Sze Sze|19/09/2017 13:40|Logout
5|SZE|Sze Sze|19/09/2017 13:40|Login
6|SZE|Sze Sze|19/09/2017 13:41|Logout
7|ADMIN|ComSec2017 Admin|19/09/2017 13:41|Login
8|ADMIN|ComSec2017 Admin|19/09/2017 13:41|Logout
9|SZE|Sze Sze|19/09/2017 13:48|Login
10|SZE|Sze Sze|19/09/2017 15:30|Login
11|SZE|Sze Sze|19/09/2017 15:31|Logout
12|SZE|Sze Sze|19/09/2017 16:20|Login
13|SZE|Sze Sze|19/09/2017 16:23|Logout
14|SZE|Sze Sze|19/09/2017 16:23|Login
15|SZE|Sze Sze|19/09/2017 16:34|Logout
16|SZE|Sze Sze|19/09/2017 17:16|Login
17|SZE|Sze Sze|19/09/2017 17:19|Logout
18|TSY|SHI YUN|19/09/2017 17:19|Login
19|TSY|SHI YUN|19/09/2017 17:20|Logout
20|TSY|SHI YUN|19/09/2017 17:20|Login
21|TSY|SHI YUN|19/09/2017 17:23|Logout
22|SZE|Sze Sze|19/09/2017 17:23|Login
23|SZE|Sze Sze|19/09/2017 17:25|Logout
24|TSY|SHI YUN|19/09/2017 17:25|Login
25|TSY|SHI YUN|19/09/2017 17:38|Logout
26|SZE|Sze Sze|19/09/2017 17:38|Login
27|SZE|Sze Sze|19/09/2017 17:42|Logout
28|TSY|SHI YUN|19/09/2017 17:42|Login
29|TSY|SHI YUN|19/09/2017 18:13|Logout
30|SZE|Sze Sze|25/09/2017 13:19|Login
31|SZE|Sze Sze|25/09/2017 13:21|Login
32|SZE|Sze Sze|25/09/2017 17:48|Login
33|SZE|Sze Sze|25/09/2017 17:50|Login
34|ADMIN|ComSec2017 Admin|25/09/2017 17:53|Login
35|ADMIN|ComSec2017 Admin|25/09/2017 17:55|Logout
36|TSY|SHI YUN|25/09/2017 18:13|Login
37|SZE|Sze Sze|04/10/2017 14:38|Login
38|SZE|Sze Sze|04/10/2017 16:49|Logout
39|SZE|Sze Sze|04/10/2017 17:10|Login
40|SZE|Sze Sze|04/10/2017 17:26|Logout
41|SZE|Sze Sze|10/10/2017 16:47|Login
42|SZE|Sze Sze|10/10/2017 16:48|Logout
43|SZE|Sze Sze|11/10/2017 8:35|Login
44|SZE|Sze Sze|11/10/2017 8:38|Logout
45|SZE|Sze Sze|11/10/2017 9:07|Login
46|SZE|Sze Sze|11/10/2017 14:13|Login
47|SZE|Sze Sze|11/10/2017 14:16|Logout
48|SZE|Sze Sze|11/10/2017 16:42|Login
49|SZE|Sze Sze|11/10/2017 17:43|Logout
890|SZE|Sze Sze|16/01/2018 16:43|Login
897|TSY|Shi Yun|16/01/2018 18:18|Login
50|SZE|Sze Sze|12/10/2017 8:33|Login
51|SZE|Sze Sze|12/10/2017 11:43|Login
898|TSY|Shi Yun|16/01/2018 18:19|Logout
52|SZE|Sze Sze|12/10/2017 13:18|Logout
53|SZE|Sze Sze|12/10/2017 13:24|Login
54|SZE|Sze Sze|12/10/2017 13:24|Logout
55|TSY|Shi Yun|12/10/2017 13:27|Login
56|SZE|Sze Sze|12/10/2017 13:32|Login
57|SZE|Sze Sze|12/10/2017 13:34|Login
