address_id,company_id,address_mailing,address_type,address_address,address_postal,address_city,address_state,address_country,address_contact,address_fax
1,1,t,Business,"2 & 4, Jalan 1/75, 
Off Jalan Kampung Pandan, 
55100 Kuala Lumpur.
Wilayah Persekutuan. ",00000,Other,Other,Austria,03-92829046,""
2,2,t,Business,"Suite 17.1, Level 17, Menara Weld,
76, Jalan Raja Chulan,
50200 Kuala Lumpur, 
Wilayah Persekutuan.",00000,Other,Other,Austria,032031 0010,""
5,4,t,Business,"7-2, Jalan Datuk Haji 1,Taman Tan Yew Lai,58200 Kuala Lumpur Wilayah Persekutuan",00000,Other,Other,Austria,"",""
6,6,t,Business,"7-2, Jalan Datuk Haji 1,Taman Tan Yew Lai,58200 Kuala Lumpur Wilayah Persekutuan",00000,Other,Other,Austria,"",""
9,9,t,Business,"23A, Jalan PJS 10/32,
Bandar Sri Subang,
46000 Petaling Jaya,
Selangor Darul Ehsan",00000,Other,Other,Austria,"",""
16,20,t,Business,"45-1, Block D,
Zenith Corporate Park,
Jalan SS7/26,
47301 Petaling Jaya, 
Selangor Darul Ehsan",00000,Other,Other,Austria,03-7886 3751,""
26,30,t,Business,"Lot 15, Kawasan Perindustrian Ringan Setapak,
Jalan Usahawan 5 , Setapak,
53200 Kuala Lumpur,
Wilayah Persekutuan.",00000,Other,Other,Austria,603-40232180           603-41439133,603-40229552
14,17,t,Business,"No. 18, Jalan Suasana 5/3A,
Bandar Tun Hussien Onn,
 43200 Cheras, 
Selangor Darul Ehsan",00000,Other,Other,Austria,"",""
25,29,t,Business,"Restoran Sakura Kristal,
Lot G14 & G15,
Giant Hypermart Subang Jaya USJ 1,
No. 1, Persiaran Subang Permai,
47500 Subang Jaya,
Selangor Darul Ehsan",00000,Other,Other,Austria,"",""
18,22,t,Resident,"Applied De-reg @ 13/8/2014
 Q for audited account",00000,Other,Other,Austria,"",""
8,8,t,Business,"E-8-6, Megan Avenue 1,
No. 189, Jalan Tun Razak,
50400 Kuala Lumpur,
Wilayah Persekutuan",00000,Other,Other,Austria,"",""
4,3,t,Resident,"A8-8,Dua Residency Condo,
211, Jalan Tun Razak,
50400 Kuala Lumpur,
 Wilayah Persekutuan",00000,Other,Other,Austria,"",""
22,26,t,Business,"Level 36, Menara Citibank,1
65 Jalan Ampang, 
50450 Kuala Lumpur,
 Wilayah Persekutuan Malaysia",00000,Other,Other,Austria,"",""
13,15,t,Business,"Level 2, Mofaz Headquarters Buildings,
Wisma Mofaz,2007,
 Jalan Damansara,
60000 Kuala Lumpur,
Wilayah Persekutuan",00000,Other,Other,Austria,"",""
23,27,t,Business,"Suite 20-10, 20th Floor,
Wisma UOA II, 21 Jalan Pinang,
50450 Kuala Lumpur, 
Wilayah Persekutuan",00000,Other,Other,Austria,030-21646988,03-21644988
19,23,t,Business,"No. 39, Jalan Metro Perdana Barat 7,
Sri Edaran Industrial Park,
7 Miles, Kepong,
52100 Kuala Lumpur
 Wilayah Persekutuan",00000,Other,Other,Austria,016-2208609,""
