fs_id,company_id,fs_date,fs_reminderdate1,fs_reminderdate2,fs_reminderdate3,fs_submissiondate,fs_status,fs_fileddate,fs_deadline,fs_agm
1,1,2018-02-28,2018-02-01,2018-05-01,2018-08-01,2018-09-27,f,"",2018-08-28,
2,2,2008-01-31,2008-01-01,2008-04-01,2008-07-01,2008-08-30,t,2008-01-31,2008-07-31,2017-10-11
4,2,2009-01-31,2009-01-01,2009-04-01,2009-07-01,2009-08-30,t,2009-01-31,2009-07-31,2017-10-11
93,8,2016-12-31,2016-12-01,2017-03-01,2017-06-01,2017-07-30,t,2018-01-19,2017-06-30,""
6,2,2010-01-31,2010-01-01,2010-04-01,2010-07-01,2010-08-30,t,2010-01-31,2010-07-31,2017-10-11
48,9,2017-06-30,2017-06-01,2017-09-01,2017-12-01,2018-01-29,t,2017-06-30,"",""
8,2,2011-01-31,2011-01-01,2011-04-01,2011-07-01,2011-08-30,t,2011-01-31,2011-07-31,2017-10-11
95,7,2017-07-31,2017-07-01,2017-10-01,2018-01-01,2018-03-02,t,2018-01-19,2018-01-18,""
10,2,2012-01-31,2012-01-01,2012-04-01,2012-07-01,2012-08-30,t,2012-01-31,2012-07-31,2017-10-11
12,2,2013-01-31,2013-01-01,2013-04-01,2013-07-01,2013-08-30,t,2013-01-31,2013-07-31,2017-10-11
14,2,2014-01-31,2014-01-01,2014-04-01,2014-07-01,2014-08-30,t,2014-01-31,2014-07-31,2017-10-11
16,2,2015-01-31,2015-01-01,2015-04-01,2015-07-01,2015-08-30,t,2015-01-31,2015-07-31,2017-10-11
18,2,2016-01-31,2016-01-01,2016-04-01,2016-07-01,2016-08-30,t,2016-01-31,2016-07-31,2017-10-11
20,2,2016-12-31,2016-12-01,2017-03-01,2017-06-01,2017-07-30,t,2016-12-31,2017-06-30,2017-10-11
21,2,2017-12-31,2017-12-01,2018-03-01,2018-06-01,2018-07-30,f,"",2018-06-30,
23,4,2018-01-01,2018-01-01,2018-04-01,2018-07-01,2018-07-31,f,"",2018-07-01,
24,5,2018-01-01,2018-01-01,2018-04-01,2018-07-01,2018-07-31,f,"",2018-07-01,
25,6,2018-01-01,2018-01-01,2018-04-01,2018-07-01,2018-07-31,f,"",2018-07-01,
29,7,2010-07-31,2010-07-01,2010-10-01,2011-01-01,2011-03-02,t,2010-07-31,2011-01-31,2017-10-11
31,7,2011-07-31,2011-07-01,2011-10-01,2012-01-01,2012-03-01,t,2011-07-31,2012-01-31,2017-10-11
33,7,2012-07-31,2012-07-01,2012-10-01,2013-01-01,2013-03-02,t,2012-07-31,2013-01-31,2017-10-11
35,7,2013-07-31,2013-07-01,2013-10-01,2014-01-01,2014-03-02,t,2013-07-31,2014-01-31,2017-10-11
37,7,2014-07-31,2014-07-01,2014-10-01,2015-01-01,2015-03-02,t,2014-07-31,2015-01-31,2017-10-11
39,7,2015-07-31,2015-07-01,2015-10-01,2016-01-01,2016-03-01,t,2015-07-31,2016-01-31,2017-10-11
41,7,2016-07-31,2016-07-01,2016-10-01,2017-01-01,2017-03-02,t,2016-07-31,2017-01-31,2017-10-11
44,8,2014-12-31,2014-12-01,2015-03-01,2015-06-01,2015-07-30,t,2014-12-31,2015-06-30,2017-10-11
46,8,2015-12-31,2015-12-01,2016-03-01,2016-06-01,2016-07-30,t,2015-12-31,2016-06-30,2017-10-11
49,10,2018-01-01,2018-01-01,2018-04-01,2018-07-01,2018-07-31,f,"",2018-07-01,
51,11,2009-12-31,2009-12-01,2010-03-01,2010-06-01,2010-07-30,t,2009-12-31,2010-06-30,2017-10-11
53,11,2010-12-31,2010-12-01,2011-03-01,2011-06-01,2011-07-30,t,2010-12-31,2011-06-30,2017-10-11
55,11,2011-12-31,2011-12-01,2012-03-01,2012-06-01,2012-07-30,t,2011-12-31,2012-06-30,2017-10-11
57,11,2012-12-31,2012-12-01,2013-03-01,2013-06-01,2013-07-30,t,2012-12-31,2013-06-30,2017-10-11
59,11,2013-12-31,2013-12-01,2014-03-01,2014-06-01,2014-07-30,t,2013-12-31,2014-06-30,2017-10-11
61,11,2014-12-31,2014-12-01,2015-03-01,2015-06-01,2015-07-30,t,2014-12-31,2015-06-30,2017-10-11
63,11,2015-12-31,2015-12-01,2016-03-01,2016-06-01,2016-07-30,t,2015-12-31,2016-06-30,2017-10-11
65,11,2016-12-31,2016-12-01,2017-03-01,2017-06-01,2017-07-30,t,2016-12-31,2017-06-30,2017-10-11
66,11,2017-12-31,2017-12-01,2018-03-01,2018-06-01,2018-07-30,f,"",2018-06-30,
68,12,2009-03-31,2009-03-01,2009-06-01,2009-09-01,2009-10-30,t,2009-03-31,2009-09-30,2017-10-11
70,12,2010-03-31,2010-03-01,2010-06-01,2010-09-01,2010-10-30,t,2010-03-31,2010-09-30,2017-10-11
72,12,2011-03-31,2011-03-01,2011-06-01,2011-09-01,2011-10-30,t,2011-03-31,2011-09-30,2017-10-11
74,12,2012-03-31,2012-03-01,2012-06-01,2012-09-01,2012-10-30,t,2012-03-31,2012-09-30,2017-10-11
76,12,2013-03-31,2013-03-01,2013-06-01,2013-09-01,2013-10-30,t,2013-03-31,2013-09-30,2017-10-11
78,12,2015-03-31,2015-03-01,2015-06-01,2015-09-01,2015-10-30,t,2015-03-31,2015-09-30,2017-10-11
80,12,2016-03-31,2016-03-01,2016-06-01,2016-09-01,2016-10-30,t,2016-03-31,2016-09-30,2017-10-11
82,13,2018-01-01,2018-01-01,2018-04-01,2018-07-01,2018-07-31,f,"",2018-07-01,
84,14,2005-12-31,2005-12-01,2006-03-01,2006-06-01,2006-07-30,t,2005-12-31,2006-06-30,2017-10-11
86,14,2006-12-31,2006-12-01,2007-03-01,2007-06-01,2007-07-30,t,2006-12-31,2007-06-30,2017-10-11
88,14,2007-12-31,2007-12-01,2008-03-01,2008-06-01,2008-07-30,t,2007-12-31,2008-06-30,2017-10-11
90,14,2008-12-31,2008-12-01,2009-03-01,2009-06-01,2009-07-30,t,2008-12-31,2009-06-30,2017-10-11
92,14,2009-12-31,2009-12-01,2010-03-01,2010-06-01,2010-07-30,t,2009-12-31,2010-06-30,2017-10-11
94,14,2010-12-31,2010-12-01,2011-03-01,2011-06-01,2011-07-30,t,2010-12-31,2011-06-30,2017-10-11
96,14,2011-12-31,2011-12-01,2012-03-01,2012-06-01,2012-07-30,t,2011-12-31,2012-06-30,2017-10-11
98,14,2012-12-31,2012-12-01,2013-03-01,2013-06-01,2013-07-30,t,2012-12-31,2013-06-30,2017-10-11
100,14,2014-12-31,2014-12-01,2015-03-01,2015-06-01,2015-07-30,t,2014-12-31,2015-06-30,2017-10-11
102,16,2018-01-01,2018-01-01,2018-04-01,2018-07-01,2018-07-31,f,"",2018-07-01,
103,18,2018-01-01,2018-01-01,2018-04-01,2018-07-01,2018-07-31,f,"",2018-07-01,
110,17,2016-06-30,2016-06-01,2016-09-01,2016-12-01,2017-01-29,t,2016-06-30,2016-12-30,2017-10-11
104,17,2013-06-30,2013-06-01,2013-09-01,2013-12-01,2014-01-29,t,2013-06-30,2013-12-30,2017-10-11
106,17,2014-06-30,2014-06-01,2014-09-01,2014-12-01,2015-01-29,t,2014-06-30,2014-12-30,2017-10-11
108,17,2015-06-30,2015-06-01,2015-09-01,2015-12-01,2016-01-29,t,2015-06-30,2015-12-30,2017-10-11
921,66,2016-12-31,2016-12-01,2017-03-01,2017-06-01,2017-07-30,t,2016-12-31,2017-06-30,2017-10-16
22,3,2015-12-31,2015-12-01,2016-03-01,2016-06-01,2016-07-30,f,"",2016-06-30,
440,39,2007-06-30,2007-06-01,2007-09-01,2007-12-01,2008-01-29,t,2007-06-30,2007-12-30,2017-10-13
113,19,2013-02-28,2013-02-01,2013-05-01,2013-08-01,2013-09-27,t,2013-02-28,2013-08-28,2017-10-12
115,19,2014-02-28,2014-02-01,2014-05-01,2014-08-01,2014-09-27,t,2014-02-28,2014-08-28,2017-10-12
122,20,2013-06-30,2013-06-01,2013-09-01,2013-12-01,2014-01-29,t,2013-06-30,2013-12-30,2017-10-12
117,19,2015-02-28,2015-02-01,2015-05-01,2015-08-01,2015-09-27,t,2015-02-28,2015-08-28,2017-10-12
1250,101,2014-12-31,2014-12-01,2015-03-01,2015-06-01,2015-07-30,t,2014-12-31,2015-06-30,2017-10-17
119,19,2016-02-29,2016-02-01,2016-05-01,2016-08-01,2016-09-28,t,2016-02-29,2016-08-29,2017-10-12
125,21,2009-12-31,2009-12-01,2010-03-01,2010-06-01,2010-07-30,t,2009-12-31,2010-06-30,2017-10-12
127,21,2010-12-31,2010-12-01,2011-03-01,2011-06-01,2011-07-30,t,2010-12-31,2011-06-30,2017-10-12
129,21,2011-12-31,2011-12-01,2012-03-01,2012-06-01,2012-07-30,t,2011-12-31,2012-06-30,2017-10-12
131,21,2012-12-31,2012-12-01,2013-03-01,2013-06-01,2013-07-30,t,2012-12-31,2013-06-30,2017-10-12
135,23,2000-12-31,2000-12-01,2001-03-01,2001-06-01,2001-07-30,t,2000-12-31,2001-06-30,2017-10-12
137,23,2001-12-31,2001-12-01,2002-03-01,2002-06-01,2002-07-30,t,2001-12-31,2002-06-30,2017-10-12
139,23,2002-12-31,2002-12-01,2003-03-01,2003-06-01,2003-07-30,t,2002-12-31,2003-06-30,2017-10-12
141,23,2003-12-31,2003-12-01,2004-03-01,2004-06-01,2004-07-30,t,2003-12-31,2004-06-30,2017-10-12
961,69,2018-01-31,2018-01-01,2018-04-01,2018-07-01,2018-08-30,f,"",2018-07-31,
143,23,2004-12-31,2004-12-01,2005-03-01,2005-06-01,2005-07-30,t,2004-12-31,2005-06-30,2017-10-12
145,23,2005-12-31,2005-12-01,2006-03-01,2006-06-01,2006-07-30,t,2005-12-31,2006-06-30,2017-10-12
147,23,2006-12-31,2006-12-01,2007-03-01,2007-06-01,2007-07-30,t,2006-12-31,2007-06-30,2017-10-12
149,23,2007-12-31,2007-12-01,2008-03-01,2008-06-01,2008-07-30,t,2007-12-31,2008-06-30,2017-10-12
151,23,2008-12-31,2008-12-01,2009-03-01,2009-06-01,2009-07-30,t,2008-12-31,2009-06-30,2017-10-12
153,23,2009-12-31,2009-12-01,2010-03-01,2010-06-01,2010-07-30,t,2009-12-31,2010-06-30,2017-10-12
155,23,2010-12-31,2010-12-01,2011-03-01,2011-06-01,2011-07-30,t,2010-12-31,2011-06-30,2017-10-12
157,23,2011-12-31,2011-12-01,2012-03-01,2012-06-01,2012-07-30,t,2011-12-31,2012-06-30,2017-10-12
159,23,2012-12-31,2012-12-01,2013-03-01,2013-06-01,2013-07-30,t,2012-12-31,2013-06-30,2017-10-12
161,23,2013-12-31,2013-12-01,2014-03-01,2014-06-01,2014-07-30,t,2013-12-31,2014-06-30,2017-10-12
163,23,2014-12-31,2014-12-01,2015-03-01,2015-06-01,2015-07-30,t,2014-12-31,2015-06-30,2017-10-12
165,23,2015-12-31,2015-12-01,2016-03-01,2016-06-01,2016-07-30,t,2015-12-31,2016-06-30,2017-10-12
167,23,2016-12-31,2016-12-01,2017-03-01,2017-06-01,2017-07-30,t,2016-12-31,2017-06-30,2017-10-12
168,23,2017-12-31,2017-12-01,2018-03-01,2018-06-01,2018-07-30,f,"",2018-06-30,
170,24,2003-09-30,2003-09-01,2003-12-01,2004-03-01,2004-04-29,t,2003-09-30,2004-03-30,2017-10-12
172,24,2004-09-30,2004-09-01,2004-12-01,2005-03-01,2005-04-29,t,2004-09-30,2005-03-30,2017-10-12
174,24,2005-09-30,2005-09-01,2005-12-01,2006-03-01,2006-04-29,t,2005-09-30,2006-03-30,2017-10-12
176,24,2006-09-30,2006-09-01,2006-12-01,2007-03-01,2007-04-29,t,2006-09-30,2007-03-30,2017-10-12
178,24,2007-09-30,2007-09-01,2007-12-01,2008-03-01,2008-04-29,t,2007-09-30,2008-03-30,2017-10-12
180,24,2008-09-30,2008-09-01,2008-12-01,2009-03-01,2009-04-29,t,2008-09-30,2009-03-30,2017-10-12
182,24,2009-09-30,2009-09-01,2009-12-01,2010-03-01,2010-04-29,t,2009-09-30,2010-03-30,2017-10-12
184,24,2010-09-30,2010-09-01,2010-12-01,2011-03-01,2011-04-29,t,2010-09-30,2011-03-30,2017-10-12
186,24,2011-09-30,2011-09-01,2011-12-01,2012-03-01,2012-04-29,t,2011-09-30,2012-03-30,2017-10-12
188,24,2012-09-30,2012-09-01,2012-12-01,2013-03-01,2013-04-29,t,2012-09-30,2013-03-30,2017-10-12
191,25,2008-12-31,2008-12-01,2009-03-01,2009-06-01,2009-07-30,t,2008-12-31,2009-06-30,2017-10-12
193,25,2009-12-31,2009-12-01,2010-03-01,2010-06-01,2010-07-30,t,2009-12-31,2010-06-30,2017-10-12
195,25,2010-12-31,2010-12-01,2011-03-01,2011-06-01,2011-07-30,t,2010-12-31,2011-06-30,2017-10-12
197,25,2011-12-31,2011-12-01,2012-03-01,2012-06-01,2012-07-30,t,2011-12-31,2012-06-30,2017-10-12
199,25,2012-12-31,2012-12-01,2013-03-01,2013-06-01,2013-07-30,t,2012-12-31,2013-06-30,2017-10-12
201,25,2013-12-31,2013-12-01,2014-03-01,2014-06-01,2014-07-30,t,2013-12-31,2014-06-30,2017-10-12
203,25,2014-12-31,2014-12-01,2015-03-01,2015-06-01,2015-07-30,t,2014-12-31,2015-06-30,2017-10-12
205,25,2015-12-31,2015-12-01,2016-03-01,2016-06-01,2016-07-30,t,2015-12-31,2016-06-30,2017-10-12
207,25,2016-12-31,2016-12-01,2017-03-01,2017-06-01,2017-07-30,t,2016-12-31,2017-06-30,2017-10-12
208,25,2017-12-31,2017-12-01,2018-03-01,2018-06-01,2018-07-30,f,"",2018-06-30,
212,26,2017-09-30,2017-09-01,2017-12-01,2018-03-01,2018-04-29,f,"",2018-03-30,
214,27,2000-12-31,2000-12-01,2001-03-01,2001-06-01,2001-07-30,t,2000-12-31,2001-06-30,2017-10-12
216,27,2001-12-31,2001-12-01,2002-03-01,2002-06-01,2002-07-30,t,2001-12-31,2002-06-30,2017-10-12
218,27,2002-12-31,2002-12-01,2003-03-01,2003-06-01,2003-07-30,t,2002-12-31,2003-06-30,2017-10-12
220,27,2003-12-31,2003-12-01,2004-03-01,2004-06-01,2004-07-30,t,2003-12-31,2004-06-30,2017-10-12
222,27,2004-12-31,2004-12-01,2005-03-01,2005-06-01,2005-07-30,t,2004-12-31,2005-06-30,2017-10-12
224,27,2005-12-31,2005-12-01,2006-03-01,2006-06-01,2006-07-30,t,2005-12-31,2006-06-30,2017-10-12
226,27,2006-12-31,2006-12-01,2007-03-01,2007-06-01,2007-07-30,t,2006-12-31,2007-06-30,2017-10-12
228,27,2007-12-31,2007-12-01,2008-03-01,2008-06-01,2008-07-30,t,2007-12-31,2008-06-30,2017-10-12
230,27,2008-12-31,2008-12-01,2009-03-01,2009-06-01,2009-07-30,t,2008-12-31,2009-06-30,2017-10-12
927,67,2017-12-31,2017-12-01,2018-03-01,2018-06-01,2018-07-30,t,2018-04-20,2018-03-22,""
232,27,2009-12-31,2009-12-01,2010-03-01,2010-06-01,2010-07-30,t,2009-12-31,2010-06-30,2017-10-12
234,27,2010-12-31,2010-12-01,2011-03-01,2011-06-01,2011-07-30,t,2010-12-31,2011-06-30,2017-10-12
236,27,2011-12-31,2011-12-01,2012-03-01,2012-06-01,2012-07-30,t,2011-12-31,2012-06-30,2017-10-12
2074,159,2008-12-31,2008-12-01,2009-03-01,2009-06-01,2009-07-30,t,2008-12-31,2009-06-30,2009-02-19
1255,101,2017-12-31,2017-12-01,2018-03-01,2018-06-01,2018-07-30,f,"",2018-06-30,
1260,102,2017-12-31,2017-12-01,2018-03-01,2018-06-01,2018-07-30,f,"",2018-06-30,
262,28,2017-12-31,2017-12-01,2018-03-01,2018-06-01,2018-07-30,f,"",2018-06-30,
264,29,2013-12-31,2013-12-01,2014-03-01,2014-06-01,2014-07-30,t,2013-12-31,2014-06-30,2017-10-12
