history_id,case_id,history_status,history_date,history_time,history_sendmode,history_remark
1,1,New,2017-10-12,19:34:27,,
2,1,Out,2017-10-12,19:34:41,,"113131313131313132132
131313131"
3,2,New,2017-12-09,11:06:18,,
4,3,New,2017-12-27,08:52:17,,
5,5,New,2017-12-27,08:55:33,,
6,4,New,2017-12-27,08:55:35,,
7,4,Complete,2017-12-28,10:29:36,,"Filed Query @ AR 2017-08-18
 to SSM on 27-12-2017"
8,3,Complete,2017-12-28,10:35:37,,"Filing to SSM Q@AR on 2017-06-19

"
9,6,New,2017-12-29,09:05:29,,
10,5,Cancel,2017-12-29,16:53:56,,Wrong job taking..it is suppose to be Poney Assets Sdn. Bhd. Query answer by Irina @ 2017-12-26
11,10,New,2018-01-02,09:03:04,,
12,8,New,2018-01-02,09:03:07,,
13,7,New,2018-01-02,09:03:09,,
14,9,New,2018-01-02,09:03:11,,
15,10,Out,2018-01-02,09:04:59,Office Boy,DCR was sent out on 29 Dec 2017
16,9,Out,2018-01-02,09:05:28,Office Boy,DCR was sent out on 29 Dec 2017
17,8,Out,2018-01-02,09:05:35,Office Boy,DCR was sent out on 29 Dec 2017
18,7,Out,2018-01-02,09:05:43,Office Boy,DCR was sent out on 29 Dec 2017
19,11,New,2018-01-02,09:33:44,,
20,12,New,2018-01-02,10:18:37,,
21,13,New,2018-01-02,11:35:39,,
22,14,New,2018-01-02,11:47:20,,
23,15,New,2018-01-02,12:52:32,,
24,16,New,2018-01-02,14:25:46,,
25,17,New,2018-01-02,14:25:46,,
26,23,New,2018-01-02,14:59:27,,
27,22,New,2018-01-02,14:59:30,,
28,21,New,2018-01-02,14:59:33,,
29,19,New,2018-01-02,14:59:35,,
500,198,Complete,2018-01-23,17:11:39,,"send out - BOT on 19.01.2018
collect - SMBC on 17.01.2018 & Mr. Ryo on 23.01.2018
"
515,298,Complete,2018-01-23,18:06:37,,2018-01-23: Email out to Auditor.
30,24,New,2018-01-02,17:23:30,,
