billingitem_id|company_id|billingitem_generated|billingitem_entrydate|billingitem_caseid|billingitem_casefeecode|billingitem_casefeedesc|billingitem_billingdesc|billingitem_billingdetails|billingitem_feetype|billingitem_feecategory|billingitem_amount|billingitem_calculatedtax|billingitem_total|billingitem_tax|perfomabill_id|billingitem_balance|debitnote_id
47|136|f|2018-01-03|29|ChAud|"Appt : Ling Kam Hoong & Co
Resign : P.S. Yap, Isma & Associates
"|Printing & Stationery|""|Disbursement|SR|18.21|1.09|19.30|6.00|17|19.30|-3
2595|397|f|2018-03-26|957|S78 Non Cash|Inc PUC (Otherwise) - From 10k to 100k|SSM - KP ROM|""|Reimbursement|OR|100.00|0.00|100.00|6.00|841|0.00|-3
31|519|f|2018-01-03|26|PurVeh|Disposal of MV (WVX1200)|Disposal of MV (WVX1200)|""|Secretarial Work|SR|50.00|3.00|53.00|6.00|9|53.00|-3
32|519|f|2018-01-03|26|PurVeh|Disposal of MV (WVX1200)|Handling Delivery & Telecommunication|""|Secretarial Work|SR|15.00|0.90|15.90|6.00|9|15.90|-3
4|504|f|2018-01-02|12|CPO|CPO - D&P Innovation SB|Pucharse CPO - D&P Innovation SB|""|Reimbursement|SR|15.00|0.90|15.90|6.00|2|15.90|-3
33|519|f|2018-01-03|26|PurVeh|Disposal of MV (WVX1200)|Printing & Stationery|""|Secretarial Work|SR|15.00|0.90|15.90|6.00|9|15.90|-3
56|605|f|2018-01-03|36|IntBanking|Reflex Cash Management-RHB|Handling Delivery & Telecommunication|""|Secretarial Work|SR|15.00|0.90|15.90|6.00|16|15.90|-3
68|408|f|2018-01-04|38|ChBkSig|DCR - Chg of Bank Signatories (CIMB Islamic Bank Berhad)|Handling, Delivery & Telecommunications|""|Disbursement|SR|25.00|1.50|26.50|6.00|21|0.00|-3
53|600|f|2018-01-03|35|IntBanking|Reflex Cash Management with RHB|Handling Delivery & Telecommunication|""|Secretarial Work|SR|15.00|0.90|15.90|6.00|15|15.90|-3
45|136|f|2018-01-03|29|ChAud|"Appt : Ling Kam Hoong & Co
Resign : P.S. Yap, Isma & Associates
"|Change of Auditor|"Appt : Ling Kam Hoong & Co
Resign : P.S. Yap, Isma & Associates
"|Secretarial Work|SR|50.00|3.00|53.00|6.00|17|53.00|-3
60|755|f|2018-01-04|33|S15|New Incorporation: BEAU DE WAAL SDN. BHD.|SSM - Corporate Information|""|Reimbursement|SR|15.00|0.90|15.90|6.00|18|0.00|-3
631|69|t|2018-01-23|-1|SecFee|""|Secretarial Fee + Registered Office|- From 2018-01-23 until 2019-01-22|Fee|SR|840.00|50.40|890.40|6.00|235|890.40|-3
156|228|t|2018-01-06|-1|SecFee|""|Secretarial Fee + Registered Office|- From 2018-01-01 until 2018-12-31|Fee|SR|840.00|50.40|890.40|6.00|50|0.00|-3
3938|591|f|2018-05-04|1365|CTC|CTC F9, F44 & F24|Certified True Copies:|Form 9, Form 44 & Form 24|Secretarial Work|SR|34.00|2.04|36.04|6.00|1259|36.04|-3
168|590|f|2018-01-08|77|AR/AGM|AR@2018-01-30|Printing & Stationery|""|Disbursement|SR|23.00|1.38|24.38|6.00|57|24.38|-3
42|690|f|2018-01-03|31|S105|LHDN STAMPING FEE|LHDN STAMPING FEE - S105@2018-01-02|""|Reimbursement|OR|18.00|0.00|18.00|6.00|13|0.00|-3
69|408|f|2018-01-04|38|ChBkSig|DCR - Chg of Bank Signatories (CIMB Islamic Bank Berhad)|Printing & Stationery|""|Disbursement|SR|20.00|1.20|21.20|6.00|21|0.00|-3
15|751|f|2018-01-02|-1|Adoption of Constitution|""|Adoption of Constitution|"-Documents Preparation
-Drafting Constitution
-Submission to CCM
"|Secretarial Work|SR|2000.00|120.00|2120.00|6.00|6|0.00|-3
602|688|t|2018-01-22|-1|SecFee|""|Secretarial Fee + Registered Office|- From 2018-01-21 until 2019-01-20|Fee|SR|840.00|50.40|890.40|6.00|226|890.40|-3
17|751|f|2018-01-02|17|S78|""|Handling, Delivery & Telecommunications|""|Fee|SR|33.00|1.98|34.98|6.00|6|0.00|-3
18|751|f|2018-01-02|17|S78|""|Printing & Stationery|""|Fee|SR|33.00|1.98|34.98|6.00|6|0.00|-3
35|661|f|2018-01-03|27|AC|FS@2016-12-31|Financial Statement @ 2016-12-31|""|Secretarial Work|SR|140.00|8.40|148.40|6.00|11|148.40|-3
114|468|f|2018-01-05|64|AR/AGM|Annual Return @ 2018-01-16|Annual Return @ 2018-01-16|""|Secretarial Work|SR|200.00|12.00|212.00|6.00|35|0.00|-3
116|468|f|2018-01-05|64|AR/AGM|Annual Return @ 2018-01-16|Printing & Stationery|""|Disbursement|SR|23.00|1.38|24.38|6.00|35|0.00|-3
117|468|f|2018-01-05|64|AR/AGM|Annual Return @ 2018-01-16|SSM-AR @ 2018-01-16|""|Reimbursement|OR|150.00|0.00|150.00|6.00|35|0.00|-3
115|468|f|2018-01-05|64|AR/AGM|Annual Return @ 2018-01-16|Handling, Delivery & Telecommunications|""|Disbursement|SR|27.00|1.62|28.62|6.00|35|0.00|-3
467|250|t|2018-01-17|-1|SecFee|""|Secretarial Fee + Registered Office|- From 2018-01-15 until 2019-01-14|Fee|SR|840.00|50.40|890.40|6.00|175|0.00|-3
635|399|f|2018-01-23|291|AR/AGM|Annual Return @ 2018-01-13|Annual Return @ 2018-01-13|""|Secretarial Work|SR|200.00|12.00|212.00|6.00|237|0.00|-3
601|419|t|2018-01-22|-1|SecFee|""|Secretarial Fee + Registered Office|- From 2018-01-21 until 2019-01-20|Fee|SR|840.00|50.40|890.40|6.00|225|0.00|-3
11|695|f|2018-01-02|15|AC|FS@2017-07-31|FINANCIAL STATEMENT @ 2017-07-31|""|Secretarial Work|SR|140.00|8.40|148.40|6.00|5|0.00|-3
12|695|f|2018-01-02|15|AC|FS@2017-07-31|HANDLING, DELIVERY & TELECOMMUNICATIONS|""|Secretarial Work|SR|27.00|1.62|28.62|6.00|5|0.00|-3
13|695|f|2018-01-02|15|AC|FS@2017-07-31|PRINTING & STATIONERY|""|Secretarial Work|SR|21.68|1.30|22.98|6.00|5|0.00|-3
5|378|f|2018-01-02|13|Div|Declaration of Dividend 4/2017 - RM600k|Declaration of Dividend 4/2017 - RM600,000|- DCR, Dividend Warrant (x3)|Secretarial Work|SR|200.00|12.00|212.00|6.00|3|0.00|-3
6|378|f|2018-01-02|13|Div|Declaration of Dividend 4/2017 - RM600k|Handling, Delivery & Telecommunication|""|Disbursement|SR|25.00|1.50|26.50|6.00|3|0.00|-3
7|378|f|2018-01-02|13|Div|Declaration of Dividend 4/2017 - RM600k|Printing & Stationery|""|Disbursement|SR|20.00|1.20|21.20|6.00|3|0.00|-3
1593|648|f|2018-02-28|636|CTC|CTC F9, F24 & F49|CTC F9, F24 & F49|""|Secretarial Work|SR|12.00|0.72|12.72|6.00|541|12.72|-3
1360|209|t|2018-02-20|-1|SecFee|""|Secretarial Fee + Registered Office|- From 2018-02-18 until 2019-02-17|Fee|SR|840.00|50.40|890.40|6.00|469|0.00|-3
1462|209|f|2018-02-22|600|AR/AGM|Annual Return@2018-02-18|Annual Return@2018-02-18|""|Secretarial Work|SR|200.00|12.00|212.00|6.00|503|0.00|-3
1|139|f|2018-01-02|11|DCR|"Director Fee for FYE 31 Dec 2014
- Seow Voon Ping (RM3.05 Mil)"|Director Fee for FYE 31 Dec 2014- Seow Voon Ping (RM3.05 Mil)|"
"|Secretarial Work|SR|50.00|3.00|53.00|6.00|1|0.00|-3
2|139|f|2018-01-02|11|DCR|"Director Fee for FYE 31 Dec 2014
- Seow Voon Ping (RM3.05 Mil)"|Handling, Delivery & Telecommunications|""|Disbursement|SR|15.00|0.90|15.90|6.00|1|0.00|-3
1024|357|f|2018-02-07|451|DeReg|""|Printing & Stationery|""|Disbursement|SR|38.40|2.30|40.70|6.00|373|0.00|-3
2134|224|f|2018-03-14|808|AR/AGM|AR@2018-03-11|SSM - AR@2018-03-11|""|Reimbursement|OR|150.00|0.00|150.00|6.00|694|150.00|-3
4105|588|f|2018-05-08|1432|AR/AGM|"AR@2018-05-15
"|SSM - AR@2018-05-15|""|Reimbursement|OR|150.00|0.00|150.00|6.00|1310|150.00|-3
4005|136|f|2018-05-07|1404|S236|Appointment of Secretary|Appointment of Secretary|- Wong Chi Fui|Secretarial Work|SR|90.00|5.40|95.40|6.00|1279|0.00|-3
37|661|f|2018-01-03|27|AC|FS@2016-12-31|Printing & Stationery|""|Fee|SR|21.68|1.30|22.98|6.00|11|22.98|-3
38|661|f|2018-01-03|27|AC|FS@2016-12-31|SSM: KP FS@2016-12-31|""|Reimbursement|OR|150.00|0.00|150.00|6.00|11|150.00|-3
19|751|f|2018-01-02|16|S32|Adoption of Constitution|SSM-Stamping of Constitution|""|Reimbursement|OR|200.00|0.00|200.00|6.00|6|0.00|-3
21|751|f|2018-01-02|16|S32|Adoption of Constitution|SSM-S36|""|Reimbursement|OR|30.00|0.00|30.00|6.00|6|0.00|-3
169|590|f|2018-01-08|77|AR/AGM|AR@2018-01-30|SSM: AR @ 2018-01-30|""|Reimbursement|OR|150.00|0.00|150.00|6.00|57|150.00|-3
20|751|f|2018-01-02|16|S32|Adoption of Constitution|SSM Idaman-Constitution|""|Reimbursement|SR|100.00|6.00|106.00|6.00|6|0.00|-3
22|751|f|2018-01-02|17|S78|Allotment of 400K Preference Shares|CPO-Vervx Malaysia Sdn. Bhd.|""|Reimbursement|SR|15.00|0.90|15.90|6.00|6|0.00|-3
129|404|f|2018-01-05|68|S58|Chg of Director Passport - Peter David Elliott-Hughes (518060019)|SSM - KP S58 - Change of Director Passport No.|""|Reimbursement|OR|200.00|0.00|200.00|6.00|38|0.00|-3
43|661|f|2018-01-03|32|S105|LHDN STAMPING FEE|LHDN STAMPING FEE - S105@2018-01-03|""|Reimbursement|OR|3.00|0.00|3.00|6.00|14|3.00|-3
54|600|f|2018-01-03|35|IntBanking|Reflex Cash Management with RHB|Printing & Stationery|""|Secretarial Work|SR|15.00|0.90|15.90|6.00|15|15.90|-3
57|605|f|2018-01-03|36|IntBanking|Reflex Cash Management-RHB|Printing & Stationery|""|Secretarial Work|SR|15.00|0.90|15.90|6.00|16|15.90|-3
1463|209|f|2018-02-22|600|AR/AGM|Annual Return@2018-02-18|Handling, Delivery & Telecommunication|""|Disbursement|SR|27.00|1.62|28.62|6.00|503|0.00|-3
1465|209|f|2018-02-22|600|AR/AGM|Annual Return@2018-02-18|SSM-AR@2018-02-18|""|Reimbursement|OR|150.00|0.00|150.00|6.00|503|0.00|-3
150|349|t|2018-01-06|-1|SecFee|""|Secretarial Fee + Registered Office|- From 2018-01-02 until 2019-01-01|Fee|SR|840.00|50.40|890.40|6.00|46|890.40|-3
181|515|f|2018-01-08|83|BkOp|Corporate Internet Banking Facility with Affin Bank Berhad|Printing & Stationery|""|Disbursement|SR|15.00|0.90|15.90|6.00|59|15.90|-3
231|654|f|2018-01-09|99|SecFee|- From 2018-01-03 to 2019-01-02|Secretarial Fee + Registered Office|- From 2018-01-03 to 2019-01-02|Fee|SR|840.00|50.40|890.40|6.00|79|890.40|-3
163|346|f|2018-01-06|76|T.O.|Re-appoint us as Sec|Secretarial Fee + Registered Office|- From 2017-12-04 to 2018-12-03|Fee|SR|840.00|50.40|890.40|6.00|56|0.00|-3
375|519|f|2018-01-15|158|CTC|""|CTC F9 & F49|""|Secretarial Work|SR|15.00|0.90|15.90|6.00|134|15.90|-3
376|515|f|2018-01-15|159|CTC|""|CTC F9 & F49|""|Secretarial Work|SR|15.00|0.90|15.90|6.00|135|15.90|-3
380|528|f|2018-01-15|163|CTC|""|CTC F9 & F49|""|Secretarial Work|SR|15.00|0.90|15.90|6.00|139|15.90|-3
603|612|t|2018-01-22|-1|SecFee|""|Secretarial Fee + Registered Office|- From 2018-01-22 until 2019-01-21|Fee|SR|840.00|50.40|890.40|6.00|227|890.40|-3
136|760|f|2018-01-05|71|S236|Appointment of Secretary|Appointment of Secretaries + 1st BOD Meeting Resolution|""|Secretarial Work|SR|350.00|21.00|371.00|6.00|42|371.00|-3
130|725|f|2018-01-05|69|CTC|CTC Financial Statement as at 31.12.2016 Form from Board of Engineering|Certified True Copies |"-Financial Statement as at 31.12.2016 (x1)
-Form from Board of Engineering (x1)"|Secretarial Work|SR|30.00|1.80|31.80|6.00|39|0.00|-3
67|408|f|2018-01-04|38|ChBkSig|DCR - Chg of Bank Signatories (CIMB Islamic Bank Berhad)|DCR - Chg of Bank Signatories (CIMB Islamic Bank Berhad)|""|Secretarial Work|SR|50.00|3.00|53.00|6.00|21|0.00|-3
36|661|f|2018-01-03|27|AC|FS@2016-12-31|Handling, Delivery & Telecommunications|""|Secretarial Work|SR|27.00|1.62|28.62|6.00|11|28.62|-3
151|650|t|2018-01-06|-1|SecFee|""|Secretarial Fee + Registered Office|- From 2018-01-03 until 2019-01-02|Fee|SR|840.00|50.40|890.40|6.00|48|890.40|-3
52|600|f|2018-01-03|35|IntBanking|Reflex Cash Management with RHB|Reflex Cash Management with RHB|""|Secretarial Work|SR|80.00|4.80|84.80|6.00|15|84.80|-3
55|605|f|2018-01-03|36|IntBanking|Reflex Cash Management-RHB|Reflex Cash Management-RHB|""|Secretarial Work|SR|80.00|4.80|84.80|6.00|16|84.80|-3
686|465|f|2018-01-23|309|IntBanking|InBK Account - CIMB Selayang|DCR - Subscription of Services for CIMB|""|Secretarial Work|SR|50.00|3.00|53.00|6.00|248|53.00|-3
232|660|f|2018-01-09|100|SecFee|- From 2018-01-07 to 2019-01-06|Secretarial Fee + Registered Office|- From 2018-01-07 to 2019-01-06|Fee|SR|840.00|50.40|890.40|6.00|80|890.40|-3
49|136|f|2018-01-03|29|ChAud|"Appt : Ling Kam Hoong & Co
Resign : P.S. Yap, Isma & Associates
"|Handling & Delivery|""|Disbursement|SR|25.00|1.50|26.50|6.00|17|26.50|-3
692|433|f|2018-01-23|310|OpBk|OpBk Account - CIMB Selayang|Printing & Stationery|""|Disbursement|SR|15.00|0.90|15.90|6.00|249|15.90|-3
62|207|f|2018-01-04|-1|Sec Fee|""|Secretarial Fee + Registered Office|- From [2017-12-24 to 2018-12-23]|Fee|SR|840.00|50.40|890.40|6.00|19|890.40|-3
243|459|f|2018-01-10|104|AC|Financial Statement @ 2017-06-30|Printing & Stationery|""|Disbursement|SR|21.68|1.30|22.98|6.00|84|0.00|-3
244|459|f|2018-01-10|104|AC|Financial Statement @ 2017-06-30|SSM-FS@2017-06-30|""|Reimbursement|OR|50.00|0.00|50.00|6.00|84|0.00|-3
241|459|f|2018-01-10|104|AC|Financial Statement @ 2017-06-30|Financial Statement @2017-06-30|""|Secretarial Work|SR|140.00|8.40|148.40|6.00|84|0.00|-3
40|376|f|2018-01-03|28|DCR|DCR - Cash Management Services and Electronic Banking Services  (Maybank)|Handling, Delivery & Telecommunications|""|Disbursement|SR|25.00|1.50|26.50|6.00|12|0.00|-3
41|376|f|2018-01-03|28|DCR|DCR - Cash Management Services and Electronic Banking Services  (Maybank)|Printing & Stationery|""|Disbursement|SR|20.00|1.20|21.20|6.00|12|0.00|-3
141|291|f|2018-01-05|72|AR/AGM|Annual Return @ 2018-01-28|Annual Return @ 2018-01-28|""|Secretarial Work|SR|200.00|12.00|212.00|6.00|43|0.00|-3
