company_id|company_no|company_name|company_intype|company_constitution|company_incorporation|company_objectives|company_industrya|company_industryb|company_website|company_staffid|company_comment|company_remark|company_country|company_gst|company_activate|company_financialyearend
35|986115-H|CCE O&G HOLDINGS SDN. BHD.|Own|Private Limited|2012-04-10|""|""|""|""|4|""|""|Malaysia|""|t|2017-06-30
36|707802-W|CCE OIL & GAS (M) SDN. BHD.|Takeover|Private Limited|2005-08-26|""|""|""|""|4|""|""|Malaysia|""|t|2016-12-31
37|960541-K|CCE SAFETY EQUIPMENT (M) SDN. BHD.|Own|Private Limited|2011-09-19|""|""|""|""|4|""|""|Malaysia|""|t|2016-12-31
2|750059-M|10 LINGKUNGAN SDN. BHD.|Own|Private Limited|2006-10-10|""|""|""|""|4|""|""|Malaysia|""|t|2017-12-31
38|683101-K|CEDAR BROADCAST & COMMUNICATIONS (M) SDN. BHD.|Own|Private Limited|2005-03-03|""|""|""|""|4|""|""|Malaysia|""|t|2017-06-30
39|693603-A|CEDAR COMMUNICATIONS (M) SDN. BHD.|Own|Private Limited|2005-06-02|""|""|""|""|4|""|""|Malaysia|""|t|2017-06-30
40|396732-U|CENTRAL FORCE INTERNATIONAL SDN. BHD.|Own|Private Limited|1996-08-05|""|""|""|""|4|""|""|Malaysia|""|t|2017-12-31
4|862980-X|""|Takeover|Private Limited|2009-07-02|""|""|""|""|4|""|""|Malaysia|""|f|2017-01-01
41|321145-A|CENTRAL FORCE SDN. BHD.|Takeover|Private Limited|1994-10-25|""|""|""|""|4|""|""|Malaysia|""|t|2017-12-31
5|862980-X|OPINION TIGER SDN.BHD|Takeover|Private Limited|2009-07-02|""|""|""|""|4|""|""|Malaysia|""|f|2017-01-01
6|862980-X|OPINION TIGER SDN.BHD|Takeover|Private Limited|2009-07-02|""|""|""|""|4|""|""|Malaysia|""|f|2017-01-01
7|862980-X|ACE CSR SDN.BHD|Takeover|Private Limited|2009-07-02|""|""|""|""|4|""|""|Malaysia|""|t|2017-01-01
8|1068230-M|ACH DESIGN SDN.BHD|Own|Private Limited|2013-10-29|""|""|""|""|4|""|""|Malaysia|""|t|2017-01-01
9|1190259-P|ACRO ASCENT ENGINEERING SDN.BHD.|Own|Private Limited|2016-06-03|""|""|""|""|4|""|""|Malaysia|""|t|2017-01-01
10|838566-W|""|Own|Private Limited|2008-11-13|""|""|""|""|4|""|""|Malaysia|""|f|2017-01-01
11|838566-W|ACRO AVENUE ENGINEERING SDN. BHD.|Own|Private Limited|2008-11-13|""|""|""|""|4|""|""|Malaysia|""|t|2017-01-01
12|805092-M|ACRO AVENUE SDN. BHD.|Own|Private Limited|2008-01-31|""|""|""|""|4|""|""|Malaysia|""|t|2017-01-01
13|670274-P|AL SAKKAF TRAVEL & TOURS SDN. BHD.|Takeover|Private Limited|2004-10-22|""|""|""|""|4|""|""|Malaysia|""|f|2017-01-01
43|396730-W|CHONG KAIN HUAT HOLDINGS SDN. BHD.|Own|Private Limited|1996-08-05|""|""|""|""|4|""|""|Malaysia|""|t|2017-12-31
14|670274-P|AL SAKKAF TRAVEL & TOURS SDN. BHD.|Takeover|Private Limited|2004-10-22|""|""|""|""|4|""|""|Malaysia|""|t|2017-01-01
16|185754|MERCHANT PIONEER LIMITED|Own|Private Limited|2016-07-28|""|""|""|""|1|""|""|Singapore|""|f|2017-01-01
44|1151844-U|CHROME VENTURE SDN. BHD.|Takeover|Private Limited|2015-07-10|""|""|""|""|4|""|""|Malaysia|""|t|2017-06-30
15|185754|AMPREX INTERNATIONAL LIMITED|Own|Private Limited|2016-07-28|""|""|""|""|1|""|""|Austria|""|t|2017-01-01
17|1004122-A|APURBA TECHNOLOGIES SDN. BHD.|Own|Private Limited|2012-05-30|""|""|""|""|4|""|""|Malaysia|""|t|2017-01-01
18|1004122-A|APURBA TECHNOLOGIES SDN. BHD.|Own|Private Limited|2012-05-30|""|""|""|""|4|""|""|Malaysia|""|f|2017-01-01
19|979688-V|AQUAEFX TECHNIC SDN. BHD.|Own|Private Limited|2012-02-27|""|""|""|""|4|""|""|Malaysia|""|t|2017-01-01
1|493784-U|SYMBOLIC EXCEL SDN. BHD. |Takeover|Private Limited|1999-09-13|""|""|""|""|2|""|""|Malaysia|000988889088|f|2017-02-28
