ar_id|company_id|ar_date|ar_reminderdate|ar_submissiondate|ar_status|ar_fileddate
1|1|2018-09-13|2018-08-01|2018-10-13|f|
67|11|2015-06-30|2015-05-01|2015-07-30|t|2015-06-30
4|2|2008-04-10|2008-03-01|2008-05-10|t|2008-04-10
5|2|2009-06-30|2009-05-01|2009-07-30|t|2009-06-30
7|2|2010-07-28|2010-06-01|2010-08-27|t|2010-07-28
69|11|2016-05-26|2016-04-01|2016-06-25|t|2016-05-26
9|2|2011-06-30|2011-05-01|2011-07-30|t|2011-06-30
334|32|2013-07-15|2013-06-01|2013-08-14|t|2013-07-15
11|2|2012-07-31|2012-06-01|2012-08-30|t|2012-07-31
23|2|2017-10-10|2017-09-01|2017-11-09|t|2017-11-02
13|2|2013-07-31|2013-06-01|2013-08-30|t|2013-07-31
110|11|2017-11-13|2017-10-01|2017-12-13|t|2017-12-18
15|2|2014-07-31|2014-06-01|2014-08-30|t|2014-07-31
112|8|2017-10-29|2017-09-01|2017-11-28|t|2017-11-17
17|2|2015-07-31|2015-06-01|2015-08-30|t|2015-07-31
19|2|2016-07-31|2016-06-01|2016-08-30|t|2016-07-31
74|12|2009-07-30|2009-06-01|2009-08-29|t|2009-07-30
76|12|2010-09-30|2010-08-01|2010-10-30|t|2010-09-30
27|4|2018-07-02|2018-06-01|2018-08-01|f|
28|5|2018-07-02|2018-06-01|2018-08-01|f|
29|6|2018-07-02|2018-06-01|2018-08-01|f|
31|7|2010-12-31|2010-11-01|2011-01-30|t|2010-12-31
78|12|2011-09-30|2011-08-01|2011-10-30|t|2011-09-30
33|7|2011-12-30|2011-11-01|2012-01-29|t|2011-12-30
35|7|2012-12-03|2012-11-01|2013-01-02|t|2012-12-03
37|7|2013-11-28|2013-10-01|2013-12-28|t|2013-11-28
80|12|2012-09-30|2012-08-01|2012-10-30|t|2012-09-30
39|7|2014-11-24|2014-10-01|2014-12-24|t|2014-11-24
41|7|2015-12-28|2015-11-01|2016-01-27|t|2015-12-28
43|7|2016-12-31|2016-11-01|2017-01-30|t|2016-12-31
82|12|2014-09-30|2014-08-01|2014-10-30|t|2014-09-30
48|8|2015-04-28|2015-03-01|2015-05-28|t|2015-04-28
50|8|2016-06-30|2016-05-01|2016-07-30|t|2016-06-30
84|12|2015-09-30|2015-08-01|2015-10-30|t|2015-09-30
53|9|2017-06-03|2017-05-01|2017-07-03|t|2017-06-03
55|10|2017-11-13|2017-10-01|2017-12-13|f|
57|11|2010-05-12|2010-04-01|2010-06-11|t|2010-05-12
59|11|2011-06-30|2011-05-01|2011-07-30|t|2011-06-30
86|12|2016-09-30|2016-08-01|2016-10-30|t|2016-09-30
61|11|2012-05-08|2012-04-01|2012-06-07|t|2012-05-08
63|11|2013-06-28|2013-05-01|2013-07-28|t|2013-06-28
65|11|2014-06-30|2014-05-01|2014-07-30|t|2014-06-30
88|12|2017-01-31|2016-12-01|2017-03-02|t|2017-01-31
90|13|2017-10-22|2017-09-01|2017-11-21|f|
92|14|2006-04-20|2006-03-01|2006-05-20|t|2006-04-20
1252|98|2018-09-14|2018-08-01|2018-10-14|f|
94|14|2007-06-30|2007-05-01|2007-07-30|t|2007-06-30
96|14|2008-06-30|2008-05-01|2008-07-30|t|2008-06-30
98|14|2009-06-30|2009-05-01|2009-07-30|t|2009-06-30
100|14|2010-06-30|2010-05-01|2010-07-30|t|2010-06-30
102|14|2011-06-30|2011-05-01|2011-07-30|t|2011-06-30
