billingitem_id|company_id|billingitem_entrydate|billingitem_casefeecode|billingitem_billingdesc|billingitem_billingdetails|billingitem_feetype|billingitem_feecategory|billingitem_amount|billingitem_calculatedtax|billingitem_total|billingitem_tax|creditnote_id
1|90|2018-01-03|AGM|IV06262@2017-07-12 : Overbilled kp AR @ 2016-12-31|"Billed RM150, paid RM100 to CCM 
"|Reimbursement|OR|50.00|0.00|50.00|6.00|1
2|445|2018-01-05|AR/AGM|IV1706-10@2010-12-21: Overbilled AR & KP AR@2010-06-30|No a/c for submission|Reimbursement|OR|350.00|0.00|350.00|6.00|2
3|258|2018-01-09|S78|IV05134@2017-03-01: Overbilled S78@2017-02-22|"Reason: No payment required for submission

"|Disbursement|SR|100.00|6.00|106.00|6.00|3
4|336|2018-01-12|Sundry|IV02430@2016-12-19: Overbilled Self-ink Rubber Stamp |Reason: Job has been cancelled|Reimbursement|OR|70.00|0.00|70.00|6.00|4
6|132|2018-01-23|S105|DN096-16@2016-03-29: Overbilled kp F32A @ 2016-01-30|- Billed RM75, paid RM37.50|Reimbursement|OR|37.50|0.00|37.50|6.00|6
5|399|2018-01-23|AC|IV05130@2017-03-01: Overbilled FS@2016-08-31|Reason: No payment required for submission prior 2017-01-31|Reimbursement|OR|50.00|0.00|50.00|6.00|5
19|385|2018-03-01|S15|B31305@2017-08-15: Overbilled Stamp Duty for Constitution|- Reason: Company did not adopt Constitution|Reimbursement|OR|100.00|0.00|100.00|6.00|13
7|693|2018-02-07|AR/AGM|IV1419-13@2013-12-24: Overbilled AR fee 2013-12-31|Reason: No audited financial statement for couple submission|Reimbursement|OR|150.00|0.00|150.00|6.00|7
20|385|2018-03-01|S15|B31305@2017-08-15: Overbilled SSM Filing Fee for Constitution|- Reason: Company did not adopt constitution|Reimbursement|SR|100.00|6.00|106.00|6.00|13
21|385|2018-03-01|S15|B31305@2017-08-15: Overbilled Image of Constitution |- Reason: Company did not adopt constitution|Reimbursement|SR|25.00|1.50|26.50|6.00|13
8|68|2018-02-08|AC|IV05356@2017-03-24 : Overbilled kp 8th AR@2012-12-31|"Billed RM200, paid RM100 for AR@2016-12-31
No AR@2012-12-31 filed "|Reimbursement|OR|100.00|0.00|100.00|6.00|8
22|344|2018-03-05|AC|IV05208@2017-03-09: Overbilled FS@2016-08-31|Reason: No submission fee is required for Financial Statements year end 2016.|Reimbursement|OR|50.00|0.00|50.00|6.00|14
16|407|2018-03-01|S15|B31168@2017-08-02: Overbilled Stamp Duty for Consitution|- Reason: Company did not adopt constitution|Reimbursement|OR|100.00|0.00|100.00|6.00|12
34|364|2018-03-15|S105|IV07384@2017-11-10: Overbilled LHDN - S105@2018-02-14 (Stamping Fee)|- Reason: Client paid to LHDN by using own Bank Draft (RM288.00)|Reimbursement|OR|3.00|0.00|3.00|6.00|19
23|611|2018-03-05|De-S551|IV06426@2017-07-28: Overbilled SSM De- Registration|Reason: Cancel De-Registration|Reimbursement|OR|100.00|0.00|100.00|6.00|15
11|594|2018-02-08|S15|Incorporation|"IV05533@2017-04-13: Overbilled SSM- Constitution
Reason: No constitution adopted"|Reimbursement|SR|100.00|6.00|106.00|6.00|9
24|611|2018-03-05|CPO|IV06426@2017-07-28: Overbilled CPO (x2)|Reason: Cancel De-Registration|Reimbursement|OR|30.00|0.00|30.00|6.00|15
25|468|2018-03-06|S78|IV05679@2017-05-03: Overbilled Section 78|Reason: No payment required for submission|Reimbursement|SR|100.00|6.00|106.00|6.00|16
26|799|2018-03-07|S15|IV07949@2018-01-15: Overbilled Section 14 (Incorporation Fee)|- Reason: Incorporation cancelled. |Reimbursement|OR|1000.00|0.00|1000.00|6.00|17
27|799|2018-03-07|S15|IV07949@2018-01-15: Overbilled Supply of Corporate Info to Agencies|- Reason: Incorporation cancelled.|Reimbursement|SR|10.00|0.60|10.60|6.00|17
12|422|2018-02-13|AC|IV07733@2017-12-20: Overbilled FS@2016-08-31|- No filing fee to SSM|Reimbursement|OR|50.00|0.00|50.00|6.00|10
13|422|2018-02-13|DeReg|IV07750@2017-12-22: Overbilled Section 550|- De-reg job cancelled. |Reimbursement|OR|100.00|0.00|100.00|6.00|10
14|422|2018-02-13|DeReg|IV07750@2017-12-22: Overbilled CPO |- De-reg job cancelled|Reimbursement|SR|15.00|0.90|15.90|6.00|10
28|799|2018-03-07|S15|IV07949@2018-01-15: Overbilled Certificate of Incorporation|- Reason: Incorporation cancelled. |Reimbursement|SR|25.00|1.50|26.50|6.00|17
29|799|2018-03-07|S15|IV07949@2018-01-15: Overbilled CPO |- Reason: Incorporation cancelled. |Reimbursement|SR|15.00|0.90|15.90|6.00|17
30|799|2018-03-07|S15|IV07949@2018-01-15: Overbilled Secretarial Fee|- Reason: Incorporation cancelled. |Fee|SR|840.00|50.40|890.40|6.00|17
