job_id|createdby_userid|assignto_mappingid|job_entrydate|company_id|job_remark|job_isposted
1|2|4|2017-10-12|20|""|t
2|3|2|2017-12-09|207|""|t
3|2|9|2017-12-27|125|""|t
5|2|6|2017-12-27|653|""|t
4|2|9|2017-12-27|163|""|t
6|2|2|2017-12-29|57|""|t
10|4|4|2018-01-02|747|""|t
8|4|4|2018-01-02|740|""|t
7|4|4|2018-01-02|741|""|t
9|4|4|2018-01-02|739|""|t
11|4|4|2018-01-02|139|""|t
12|2|2|2018-01-02|504|""|t
13|3|2|2018-01-02|378|""|t
14|9|10|2018-01-02|696|FS@2014-12-31|t
15|9|10|2018-01-02|695|""|t
16|5|6|2018-01-02|751|""|t
49|3|2|2018-01-04|470|""|t
22|7|8|2018-01-02|313|""|t
21|7|8|2018-01-02|379|""|t
20|7|8|2018-01-02|397|""|t
18|7|8|2018-01-02|381|""|t
23|9|10|2018-01-02|661|""|t
24|9|10|2018-01-02|690|""|t
48|3|2|2018-01-04|328|""|t
25|5|6|2018-01-03|519|""|t
26|9|10|2018-01-03|661|""|t
27|7|8|2018-01-03|376|""|t
47|3|2|2018-01-04|204|""|t
28|4|4|2018-01-03|136|""|t
29|9|10|2018-01-03|690|""|t
30|9|10|2018-01-03|690|""|t
31|9|10|2018-01-03|661|""|t
32|7|8|2018-01-03|755|""|t
33|5|6|2018-01-03|600|""|t
34|5|6|2018-01-03|605|""|t
50|4|4|2018-01-04|52|""|t
35|8|9|2018-01-04|110|""|t
36|7|8|2018-01-04|408|""|t
37|8|9|2018-01-04|164|""|t
38|3|2|2018-01-04|483|""|t
39|3|2|2018-01-04|483|""|t
51|8|9|2018-01-05|123|""|t
40|7|8|2018-01-04|376|""|t
41|9|10|2018-01-04|573|""|t
42|9|10|2018-01-04|573|""|t
43|9|10|2018-01-04|573|""|t
44|8|9|2018-01-04|7|""|t
46|5|6|2018-01-04|623|""|t
45|5|6|2018-01-04|623|""|t
53|3|2|2018-01-05|204|""|t
54|3|2|2018-01-05|328|""|t
55|3|2|2018-01-05|470|""|t
56|8|9|2018-01-05|44|""|t
52|8|9|2018-01-05|44|""|t
57|9|10|2018-01-05|573|""|t
58|7|8|2018-01-05|468|""|t
59|7|8|2018-01-05|291|""|t
60|4|4|2018-01-05|52|""|t
61|8|9|2018-01-05|69|""|t
62|7|8|2018-01-05|404|""|t
63|5|6|2018-01-05|725|""|t
64|3|2|2018-01-05|448|""|t
65|9|10|2018-01-05|760|""|t
66|7|8|2018-01-05|291|""|t
67|9|10|2018-01-05|701|""|t
68|4|9|2018-01-06|76|""|t
69|7|8|2018-01-06|307|""|t
70|3|2|2018-01-06|346|""|t
71|9|10|2018-01-08|590|""|t
72|3|2|2018-01-08|449|""|t
73|7|8|2018-01-08|315|""|t
74|9|10|2018-01-08|705|""|t
75|9|10|2018-01-08|705|""|t
76|5|6|2018-01-08|515|""|t
77|4|4|2018-01-08|124|""|t
78|7|8|2018-01-08|468|""|t
79|9|10|2018-01-08|688|""|t
80|3|2|2018-01-08|765|""|t
81|8|9|2018-01-09|203|""|t
82|9|10|2018-01-09|617|""|t
93|5|6|2018-01-10|600|""|t
83|4|4|2018-01-09|81|""|t
84|4|4|2018-01-09|84|""|t
85|9|10|2018-01-09|702|""|t
86|9|10|2018-01-09|702|""|t
87|5|6|2018-01-09|702|""|t
88|7|8|2018-01-09|350|""|t
91|3|2|2018-01-09|380|""|t
90|3|2|2018-01-09|660|""|t
89|3|2|2018-01-09|654|""|t
92|9|10|2018-01-09|699|""|t
94|7|8|2018-01-10|459|""|t
95|7|8|2018-01-10|449|""|t
96|4|4|2018-01-10|126|""|t
97|5|6|2018-01-10|671|""|t
98|7|8|2018-01-10|373|""|t
99|7|8|2018-01-10|436|""|t
100|7|8|2018-01-10|436|""|t
101|4|4|2018-01-10|126|""|t
102|9|10|2018-01-10|720|""|t
103|9|10|2018-01-10|720|""|t
104|9|10|2018-01-10|515|""|t
105|3|2|2018-01-10|367|""|t
106|3|2|2018-01-10|367|""|t
107|5|6|2018-01-10|515|""|t
108|7|8|2018-01-10|771|""|t
110|8|9|2018-01-11|121|""|t
111|8|9|2018-01-11|146|""|t
112|5|6|2018-01-11|662|""|t
113|5|6|2018-01-11|515|""|t
114|8|9|2018-01-11|192|""|t
115|8|9|2018-01-11|82|""|t
116|3|2|2018-01-11|351|""|t
117|8|9|2018-01-11|25|""|t
118|5|6|2018-01-12|671|""|t
119|5|6|2018-01-12|597|""|t
120|6|13|2018-01-12|313|""|t
121|7|8|2018-01-12|313|""|t
122|7|8|2018-01-12|313|""|t
123|7|8|2018-01-12|453|""|t
124|4|4|2018-01-12|126|""|t
126|7|8|2018-01-12|391|""|t
125|4|4|2018-01-12|153|""|t
127|9|10|2018-01-12|725|""|t
109|4|4|2018-01-11|76|""|t
128|5|6|2018-01-12|693|""|t
129|3|2|2018-01-12|337|""|t
130|3|2|2018-01-12|337|""|t
131|7|8|2018-01-12|479|""|t
132|7|8|2018-01-12|479|""|t
134|7|8|2018-01-12|426|""|t
133|3|2|2018-01-12|343|""|t
135|4|4|2018-01-12|153|""|t
136|4|4|2018-01-12|153|""|t
185|9|10|2018-01-16|565|""|t
157|3|2|2018-01-12|454|""|t
159|5|6|2018-01-12|705|""|t
160|7|8|2018-01-12|261|""|t
156|9|10|2018-01-12|691|""|t
155|9|10|2018-01-12|573|""|t
154|9|10|2018-01-12|679|""|t
153|9|10|2018-01-12|687|""|t
152|9|10|2018-01-12|562|""|t
151|9|10|2018-01-12|521|""|t
150|9|10|2018-01-12|636|""|t
149|9|10|2018-01-12|602|""|t
148|9|10|2018-01-12|542|""|t
147|9|10|2018-01-12|527|""|t
146|9|10|2018-01-12|520|""|t
145|9|10|2018-01-12|524|""|t
144|9|10|2018-01-12|528|""|t
143|9|10|2018-01-12|518|""|t
142|9|10|2018-01-12|517|""|t
141|9|10|2018-01-12|516|""|t
140|9|10|2018-01-12|515|""|t
139|9|10|2018-01-12|519|""|t
138|9|10|2018-01-12|514|""|t
137|9|10|2018-01-12|522|""|t
161|9|10|2018-01-15|625|""|t
162|4|4|2018-01-15|33|""|t
163|3|2|2018-01-15|378|""|t
164|8|9|2018-01-15|58|""|t
165|3|2|2018-01-15|479|""|t
166|3|2|2018-01-15|479|""|t
167|5|6|2018-01-15|515|""|t
168|7|8|2018-01-15|346|""|t
169|8|9|2018-01-15|131|""|t
170|6|13|2018-01-15|448|""|t
171|5|6|2018-01-15|515|""|t
173|8|9|2018-01-16|25|""|t
174|2|1|2018-01-16|123|""|t
177|8|9|2018-01-16|188|""|t
178|9|10|2018-01-16|776|""|t
179|9|10|2018-01-16|776|""|t
180|4|4|2018-01-16|100|""|t
181|3|2|2018-01-16|345|""|t
182|4|9|2018-01-16|126|""|t
176|4|4|2018-01-16|738|""|t
175|4|4|2018-01-16|738|""|t
183|9|10|2018-01-16|497|""|t
184|9|10|2018-01-16|623|""|t
186|9|10|2018-01-16|662|""|t
187|3|2|2018-01-16|402|""|t
188|3|2|2018-01-16|402|""|t
172|4|4|2018-01-15|68|""|t
