case_id|job_id|case_no|case_entrydate|case_case|case_particular|case_remark|case_tempkey|case_casebillingdescription
1|1|1|2017-10-12|SecFee|""|""|22017-10-12T19:33:11.161|Secretarial Fee + Registered Office
2|2|1|2017-12-09|TerSec|""|""|32017-12-09T11:05:26.223|Termination of Secretarial Services
3|3|1|2017-12-27|Sundry|Answer SSM Q on AR 19.6.2017 b4 3.1.2018|""|22017-12-27T08:48:35.518|Miscellaneous Secretarial Job
4|4|1|2017-12-27|Sundry|Answer SSM Q for AR 18.8.2017 b4 3.1.2018.|""|22017-12-27T08:52:26.160|Miscellaneous Secretarial Job
5|5|1|2017-12-27|Sundry|Answer SSM Q on S46(3)@22.11.2017 b4 3.1.2018|""|22017-12-27T08:53:45.704|Miscellaneous Secretarial Job
24|23|1|2018-01-02|AC|FS@2016-12-31|""|92018-01-02T17:22:49.167|Financial Statement
6|6|1|2017-12-29|WP|W/Up LLP|""|22017-12-29T09:04:22.644|Winding Up
7|7|1|2018-01-02|T.O.|"
"|""|42018-01-02T08:59:13.075|Take Over Secretarial File(s)
8|8|1|2018-01-02|T.O.|""|""|42018-01-02T09:00:59.473|Take Over Secretarial File(s)
9|9|1|2018-01-02|T.O.|""|""|42018-01-02T09:01:32.046|Take Over Secretarial File(s)
10|10|1|2018-01-02|T.O.|""|""|42018-01-02T09:01:59.136|Take Over Secretarial File(s)
11|11|1|2018-01-02|DCR|"Director Fee for FYE 31 Dec 2014
- Seow Voon Ping (RM3.05 Mil)"|""|42018-01-02T09:27:21.656|Misc Director Resolution-
12|12|1|2018-01-02|CPO|CPO - D&P Innovation SB|""|22018-01-02T10:17:15.332|Purchase of CPO/Idaman
13|13|1|2018-01-02|Div|Declaration of Dividend 4/2017 - RM600k|""|32018-01-02T11:34:03.609|Issuance of Dividends
14|14|1|2018-01-02|AC|"FS@2014-12-31
"|""|92018-01-02T11:45:20.748|Financial Statement
15|15|1|2018-01-02|AC|FS@2017-07-31|""|92018-01-02T12:51:33.144|Financial Statement
16|16|1|2018-01-02|S32|Adoption of Constitution|""|52018-01-02T14:12:12.598|Adoption of Constitution
17|16|2|2018-01-02|S78|Allotment of 400K Preference Shares|""|52018-01-02T14:12:12.598|Increase in Paid Up Capital-Cash
18|17|1|2018-01-02|S36|Object Clause 3(ii)|""|42018-01-02T14:30:54.420|M&A/Constitution changes
19|18|1|2018-01-02|PD 2/2017|PD 2/2017 - Notification of Change of Business Address|""|72018-01-02T14:42:58.275|Biz/Branch Add/Nature of biz changes
31|30|1|2018-01-03|S105|LHDN STAMPING FEE|""|92018-01-03T16:22:49.862|Transfer of share(s)
21|20|1|2018-01-02|PD 2/2017|PD 2/2017 - Notification on Chg of Address|""|72018-01-02T14:50:53.998|Biz/Branch Add/Nature of biz changes
22|21|1|2018-01-02|PD 2/2017|PD 2/2017 - Notification on Chg of Address|""|72018-01-02T14:53:27.076|Biz/Branch Add/Nature of biz changes
23|22|1|2018-01-02|PD 2/2017|PD 2/2017 - Notification on Chg of Business Address|""|72018-01-02T14:54:19.846|Biz/Branch Add/Nature of biz changes
185|164|1|2018-01-15|AC|Financial Statement @ 2017-07-31 |""|82018-01-15T10:30:56.893|Financial Statement
25|24|1|2018-01-02|AC|FS@2017-05-31|""|92018-01-02T17:46:32.611|Financial Statement
26|25|1|2018-01-03|PurVeh|Disposal of MV (WVX1200)|""|52018-01-03T09:50:19.639|Vehicle Purchase/disposal
27|26|1|2018-01-03|AC|FS@2016-12-31|""|92018-01-03T12:24:16.389|Financial Statement
28|27|1|2018-01-03|DCR|DCR - Cash Management Services and Electronic Banking Services  (Maybank)|""|72018-01-03T12:48:37.737|Misc Director Resolution-
29|28|1|2018-01-03|ChAud|"Appt : Ling Kam Hoong & Co
Resign : P.S. Yap, Isma & Associates
"|""|42018-01-03T16:09:31.954|Change of Auditor
190|169|1|2018-01-15|AR/AGM|Annual Return @2018-02-22|""|82018-01-15T16:16:51.624|Annual Return
30|29|1|2018-01-03|S105|LHDN STAMPING FEE|""|92018-01-03T16:19:57.707|Transfer of share(s)
32|31|1|2018-01-03|S105|LHDN STAMPING FEE|""|92018-01-03T16:48:42.240|Transfer of share(s)
33|32|1|2018-01-03|S15|New Incorporation: BEAU DE WAAL SDN. BHD.|""|72018-01-03T17:46:52.979|Incorporation
195|173|1|2018-01-16|S58|"Change passport 
- Mahdi Ali Khan Zadeh
- Toktam Tork Zadeh "|""|82018-01-16T10:42:57.368|F49-ResDir/Change Information
35|33|1|2018-01-03|IntBanking|Reflex Cash Management with RHB|""|52018-01-03T18:11:40.268|Internet Banking
36|34|1|2018-01-03|IntBanking|Reflex Cash Management-RHB|""|52018-01-03T18:18:02.303|Internet Banking
37|35|1|2018-01-04|AR/AGM|AR @ 2018-01-16|""|82018-01-04T12:50:34.840|Annual Return
38|36|1|2018-01-04|ChBkSig|DCR - Chg of Bank Signatories (CIMB Islamic Bank Berhad)|""|72018-01-04T13:44:27.560|Changing Banking Signatory
39|37|1|2018-01-04|AR/AGM|Annual Return @ 2018-01-24 |""|82018-01-04T14:23:38.328|Annual Return
40|38|1|2018-01-04|BkFac|"Maybank Islamic Berhad - Bank Fac @ 2017-09-14
- DCR, MWR"|""|32018-01-04T14:54:11.993|Bank-Facilities
41|38|2|2018-01-04|ConfirmL|Confirmation Letter - MBB |""|32018-01-04T14:54:11.993|Confirmation Letter
42|38|3|2018-01-04|CTC|CTC F24, F44, F49, M&A (x2)|""|32018-01-04T14:54:11.993|Certified True Copies 
43|39|1|2018-01-04|BkFac|"Maybank Islamic Berhad - Banking Fac
- DCR, MWR"|""|32018-01-04T14:59:32.934|Bank-Facilities
44|39|2|2018-01-04|ConfirmL|Confirmation Letter to MBB|""|32018-01-04T14:59:32.934|Confirmation Letter
45|39|3|2018-01-04|CTC|CTC F24, F44, F49, M&A (x2)|""|32018-01-04T14:59:32.934|Certified True Copies 
46|40|1|2018-01-04|AR/AGM|Annual Return @ 2018-01-25|""|72018-01-04T15:40:05.784|Annual Return
47|41|1|2018-01-04|AC|FS@2016-09-30|""|92018-01-04T16:19:09.899|Financial Statement
199|177|1|2018-01-16|AR/AGM|Annual Return @2018-02-12|""|82018-01-16T12:55:42.236|Annual Return
203|181|1|2018-01-16|PurVeh|Purchase of MV - Nissan Navara |""|32018-01-16T15:52:23.004|Vehicle Purchase/disposal
204|181|2|2018-01-16|ConfirmL|Confirmation Letter to PBB|""|32018-01-16T15:52:23.004|Confirmation Letter
208|184|1|2018-01-16|CTC|""|""|92018-01-16T18:01:29.288|Certified True Copies 
212|188|1|2018-01-16|DCR|DCR - Selling of Branch Business|""|32018-01-16T18:16:10.158|Misc Director Resolution-
216|192|1|2018-01-17|OpBk|Access to Maybank2u Internet Banking|""|42018-01-17T12:13:55.670|Open Bank Account(s)
220|196|1|2018-01-17|Invst|Investment in Myra Gardens SB|""|72018-01-17T13:46:00.561|Investment(s)
224|199|1|2018-01-17|AC|FS@2017-07-31|""|92018-01-17T15:28:53.494|Financial Statement
48|42|1|2018-01-04|AC|FS@2016-09-30|""|92018-01-04T16:20:53.329|Financial Statement
49|43|1|2018-01-04|AC|FS@2016-09-30|""|92018-01-04T16:22:01.801|Financial Statement
50|44|1|2018-01-04|AC|Financial Statement @ 2017-07-31|""|82018-01-04T17:11:36.925|Financial Statement
51|45|1|2018-01-04|S58|Resignation of Farah|""|52018-01-04T17:41:25.546|F49-ResDir/Change Information
