paymentitem_id|payment_id|billingitem_id|payment_amount|payment_tax|payment_total|payment_taxrate|payment_balance
1|2|140|26.50|0.00|26.50|6.00|26.50
2|2|136|350.00|21.00|371.00|6.00|371.00
3|2|137|840.00|50.40|890.40|6.00|890.40
4|2|138|27.00|1.62|28.62|6.00|28.62
5|2|139|75.00|4.50|79.50|6.00|79.50
6|3|26|140.00|8.40|148.40|6.00|148.40
7|3|27|27.00|1.62|28.62|6.00|28.62
8|3|28|21.68|1.30|22.98|6.00|22.98
9|3|29|50.00|0.00|50.00|6.00|50.00
10|3|30|50.00|0.00|50.00|6.00|50.00
11|3|42|18.00|0.00|18.00|6.00|18.00
12|3|-2|2.00|0.00|2.00|0.00|0.00
13|4|50|1000.00|0.00|1000.00|6.00|1000.00
14|4|60|15.90|0.00|15.90|6.00|15.90
15|4|46|160.00|9.60|169.60|6.00|169.60
16|4|48|150.00|9.00|159.00|6.00|159.00
17|4|51|10.60|0.00|10.60|6.00|10.60
18|4|61|50.00|0.00|50.00|6.00|50.00
19|4|44|1390.00|83.40|1473.40|6.00|1473.40
20|4|58|89.62|5.38|95.00|6.00|95.00
21|4|59|26.50|0.00|26.50|6.00|26.50
22|5|74|70.00|4.20|74.20|6.00|74.20
23|5|78|45.00|2.70|47.70|6.00|47.70
24|5|77|15.00|0.90|15.90|6.00|15.90
25|5|75|80.00|4.80|84.80|6.00|84.80
26|5|79|29.77|1.79|31.56|6.00|31.56
27|5|76|44.00|2.64|46.64|6.00|46.64
28|6|121|200.00|12.00|212.00|6.00|212.00
29|6|124|150.00|0.00|150.00|6.00|150.00
30|6|122|27.00|1.62|28.62|6.00|28.62
31|6|123|23.00|1.38|24.38|6.00|24.38
32|7|130|30.00|1.80|31.80|6.00|31.80
33|7|131|15.00|0.90|15.90|6.00|15.90
34|8|68|25.00|1.50|26.50|6.00|26.50
35|8|69|20.00|1.20|21.20|6.00|21.20
36|8|67|50.00|3.00|53.00|6.00|53.00
37|9|229|840.00|50.40|890.40|6.00|890.40
38|10|212|50.00|3.00|53.00|6.00|53.00
39|10|213|15.00|0.90|15.90|6.00|15.90
40|10|215|15.00|0.90|15.90|6.00|15.90
41|11|216|50.00|3.00|53.00|6.00|53.00
42|11|217|15.00|0.90|15.90|6.00|15.90
43|11|218|15.00|0.90|15.90|6.00|15.90
44|12|227|21.68|1.30|22.98|6.00|22.98
45|12|228|50.00|0.00|50.00|6.00|50.00
46|12|224|140.00|8.40|148.40|6.00|148.40
47|12|226|27.00|1.62|28.62|6.00|28.62
48|13|283|80.00|4.80|84.80|6.00|84.80
49|13|284|15.00|0.90|15.90|6.00|15.90
50|13|286|15.00|0.90|15.90|6.00|15.90
